Date,Open,High,Low,Close,Volume,Change
2022-01-03,3020,3020,3020,3020,1,0.010033444816053505
2022-01-04,3020,3020,3020,3020,1,0.0
2022-01-05,3465,3465,2815,3140,68,0.039735099337748325
2022-01-06,3015,3020,3015,3020,2,-0.03821656050955413
2022-01-07,2980,2980,2980,2980,0,-0.013245033112582738
2022-01-10,3000,3000,3000,3000,18,0.006711409395973256
2022-01-11,3000,3000,3000,3000,1,0.0
2022-01-12,2995,3150,2995,3150,4679,0.050000000000000044
2022-01-13,2850,3095,2850,3020,955,-0.041269841269841234
2022-01-14,3000,3100,3000,3100,301,0.026490066225165476
2022-01-17,3560,3560,2800,3000,507,-0.032258064516129004
2022-01-18,3080,3085,3010,3085,2042,0.02833333333333332
2022-01-19,3000,3145,3000,3145,581,0.01944894651539708
2022-01-20,3140,3145,3000,3130,492,-0.004769475357710662
2022-01-21,3500,3500,3000,3000,501,-0.04153354632587858
2022-01-24,3145,3145,3145,3145,1,0.04833333333333334
2022-01-25,3145,3145,3145,3145,1,0.0
2022-01-26,3000,3045,3000,3045,503,-0.031796502384737635
2022-01-27,3030,3030,3030,3030,1,-0.0049261083743842304
2022-01-28,3150,3150,3150,3150,1,0.03960396039603964
2022-02-03,3245,3245,3000,3000,2,-0.04761904761904767
2022-02-04,3145,3145,3095,3100,81,0.03333333333333344
2022-02-07,3555,3555,3000,3000,3003,-0.032258064516129004
2022-02-08,3095,3095,3040,3040,2,0.01333333333333342
2022-02-09,3100,3100,2800,3095,3,0.018092105263157965
2022-02-10,3100,3100,3000,3020,510,-0.024232633279482996
2022-02-11,3100,3100,3100,3100,1,0.026490066225165476
2022-02-14,3095,3095,3095,3095,1,-0.001612903225806428
2022-02-15,3080,3080,3080,3080,0,-0.004846526655896577
2022-02-16,3080,3080,3080,3080,0,0.0
2022-02-17,3080,3080,3080,3080,0,0.0
2022-02-18,3080,3080,3080,3080,0,0.0
2022-02-21,3480,3480,3480,3480,1,0.1298701298701299
2022-02-22,3790,3790,2960,3560,1346,0.02298850574712641
2022-02-23,3530,3530,3530,3530,0,-0.008426966292134797
2022-02-24,3335,3335,3005,3005,22,-0.14872521246458925
2022-02-25,3250,3250,3250,3250,1,0.08153078202995001
2022-02-28,3100,3100,2850,3100,3002,-0.0461538461538461
2022-03-02,3085,3085,3085,3085,0,-0.004838709677419395
2022-03-03,3465,3465,3465,3465,1,0.12317666126418159
2022-03-04,2950,2955,2950,2955,5558,-0.1471861471861472
2022-03-07,2980,2980,2980,2980,2,0.008460236886632888
2022-03-08,2965,2965,2965,2965,0,-0.005033557046979831
2022-03-10,2945,2945,2945,2945,0,-0.006745362563237767
2022-03-11,2985,2985,2985,2985,1,0.013582342954159499
2022-03-14,3340,3340,2940,2940,2001,-0.015075376884422065
2022-03-15,2920,2920,2920,2920,0,-0.006802721088435382
2022-03-16,2950,2950,2950,2950,2,0.010273972602739656
2022-03-17,2940,2940,2800,2940,5,-0.003389830508474523
2022-03-18,3340,3340,3340,3340,1,0.1360544217687074
2022-03-21,3220,3220,3220,3220,0,-0.0359281437125748
2022-03-22,3220,3220,3220,3220,1,0.0
2022-03-23,3150,3150,2950,2950,3479,-0.08385093167701863
2022-03-24,3235,3235,3235,3235,1,0.09661016949152534
2022-03-25,2950,3235,2950,2950,3548,-0.08809891808346215
2022-03-28,2955,2960,2950,2950,7418,0.0
2022-03-29,3195,3195,2960,2970,8001,0.006779661016949046
2022-03-30,2975,3300,2970,3300,4002,0.11111111111111116
2022-03-31,3100,3100,3100,3100,1,-0.06060606060606055
2022-04-01,3545,3545,2975,3515,139,0.1338709677419354
2022-04-04,2995,3400,2995,3400,53,-0.03271692745376953
2022-04-05,2890,2990,2890,2990,4352,-0.12058823529411766
2022-04-06,2995,3100,2995,2995,1502,0.0016722408026756952
2022-04-07,2995,2995,2995,2995,1500,0.0
2022-04-08,2995,2995,2995,2995,0,0.0
2022-04-11,2995,2995,2995,2995,2000,0.0
2022-04-12,3295,3295,3295,3295,1,0.10016694490818034
2022-04-13,2995,3000,2995,3000,2000,-0.08952959028831564
2022-04-14,3000,3000,3000,3000,0,0.0
2022-04-15,2655,3250,2655,3250,52,0.08333333333333326
2022-04-18,2995,2995,2995,2995,51,-0.07846153846153847
2022-04-19,2995,2995,2995,2995,0,0.0
2022-04-20,2995,2995,2995,2995,0,0.0
2022-04-21,3250,3250,3250,3250,1,0.08514190317195336
2022-04-22,3000,3000,3000,3000,1,-0.07692307692307687
2022-04-25,2995,2995,2995,2995,0,-0.0016666666666667052
2022-04-26,2985,2985,2985,2985,0,-0.0033388981636059967
2022-04-27,2985,2985,2985,2985,0,0.0
2022-04-28,3170,3170,3170,3170,500,0.06197654941373543
2022-04-29,3000,3000,3000,3000,0,-0.05362776025236593
2022-05-02,3000,3000,3000,3000,0,0.0
2022-05-03,2995,2995,2995,2995,0,-0.0016666666666667052
2022-05-04,2625,2625,2625,2625,1,-0.12353923205342232
2022-05-06,2950,2950,2950,2950,1000,0.12380952380952381
2022-05-09,2900,2950,2900,2950,2700,0.0
2022-05-10,2950,2950,2950,2950,0,0.0
2022-05-11,2950,2950,2950,2950,2000,0.0
2022-05-12,2950,3000,2600,2950,6303,0.0
2022-05-13,3000,3000,2950,2950,4000,0.0
2022-05-16,2605,3390,2605,3000,1114,0.016949152542372836
2022-05-17,3000,3000,3000,3000,0,0.0
2022-05-18,3000,3000,3000,3000,0,0.0
2022-05-19,3000,3000,3000,3000,0,0.0
2022-05-20,3140,3140,3140,3140,30,0.046666666666666634
2022-05-23,3125,3125,3125,3125,0,-0.004777070063694322
2022-05-24,3140,3140,3140,3140,1,0.0047999999999999154
2022-05-25,3125,3125,3125,3125,0,-0.004777070063694322
2022-05-26,3125,3125,3125,3125,0,0.0
2022-05-27,3125,3125,3125,3125,0,0.0
2022-05-30,3125,3125,3125,3125,0,0.0
2022-05-31,2800,3445,2800,3445,2,0.10240000000000005
2022-06-02,3125,3140,3125,3140,33,-0.08853410740203194
2022-06-03,3140,3140,3140,3140,0,0.0
2022-06-07,3135,3135,3135,3135,0,-0.0015923566878981443
2022-06-08,3125,3125,3125,3125,0,-0.0031897926634768536
2022-06-09,3125,3125,3125,3125,0,0.0
2022-06-10,3120,3120,3120,3120,0,-0.0016000000000000458
2022-06-13,3120,3120,3120,3120,0,0.0
2022-06-14,3120,3120,3120,3120,0,0.0
2022-06-15,3120,3120,3120,3120,0,0.0
2022-06-16,3110,3110,3110,3110,0,-0.0032051282051281937
2022-06-17,3110,3110,3110,3110,0,0.0
2022-06-20,3110,3110,3110,3110,0,0.0
2022-06-21,3110,3110,3110,3110,0,0.0
2022-06-22,2650,2650,2650,2650,1126,-0.14790996784565913
2022-06-23,2600,2600,2600,2600,1000,-0.018867924528301883
2022-06-24,2700,2700,2700,2700,0,0.03846153846153855
2022-06-27,2700,2700,2700,2700,0,0.0
2022-06-28,2700,2700,2700,2700,0,0.0
2022-06-29,3050,3050,3050,3050,30,0.12962962962962954
2022-06-30,3050,3050,3050,3050,0,0.0
2022-07-01,3050,3050,3050,3050,0,0.0
2022-07-04,3050,3050,3050,3050,0,0.0
2022-07-05,3050,3050,3050,3050,0,0.0
2022-07-06,3050,3050,3050,3050,0,0.0
2022-07-07,3000,3000,3000,3000,0,-0.016393442622950838
2022-07-08,3000,3000,3000,3000,30,0.0
2022-07-11,2985,2985,2985,2985,0,-0.0050000000000000044
2022-07-12,2970,2970,2970,2970,0,-0.005025125628140725
2022-07-13,2970,2970,2970,2970,0,0.0
2022-07-14,2970,2970,2970,2970,0,0.0
2022-07-15,3370,3370,3370,3370,1,0.13468013468013473
2022-07-18,3370,3370,3370,3370,0,0.0
2022-07-19,3355,3355,3355,3355,0,-0.004451038575667643
2022-07-20,3595,3595,3595,3595,1,0.07153502235469444
2022-07-21,3060,3060,3060,3060,0,-0.1488178025034771
2022-07-22,3050,3050,3050,3050,0,-0.0032679738562091387
2022-07-25,3050,3050,3050,3050,0,0.0
2022-07-26,2985,2985,2985,2985,0,-0.021311475409836023
2022-07-27,2985,2985,2985,2985,30,0.0
2022-07-28,2970,2970,2970,2970,0,-0.005025125628140725
2022-07-29,2945,2945,2945,2945,1,-0.008417508417508435
2022-08-01,2945,2945,2945,2945,1,0.0
2022-08-02,2935,2945,2935,2945,3,0.0
2022-08-03,2945,2945,2945,2945,1,0.0
2022-08-04,2900,2900,2870,2870,11,-0.025466893039049254
2022-08-05,2850,2850,2850,2850,3,-0.006968641114982632
2022-08-08,2850,2850,2850,2850,0,0.0
2022-08-09,3275,3275,3275,3275,1,0.14912280701754388
2022-08-10,2785,2785,2785,2785,102,-0.14961832061068703
2022-08-11,2780,2780,2780,2780,0,-0.0017953321364452268
2022-08-12,2780,2780,2780,2780,1,0.0
2022-08-16,3040,3040,3040,3040,1,0.09352517985611519
2022-08-17,3030,3030,3030,3030,0,-0.003289473684210509
2022-08-18,2580,2580,2580,2580,79,-0.14851485148514854
2022-08-19,2195,2495,2195,2495,1037,-0.032945736434108475
2022-08-22,2125,2865,2125,2125,13025,-0.14829659318637278
2022-08-23,2425,2425,2425,2425,1,0.14117647058823524
2022-08-24,2785,2785,2785,2785,1,0.1484536082474226
2022-08-25,3200,3200,2800,2800,2,0.0053859964093356805
2022-08-26,2800,2800,2800,2800,1,0.0
2022-08-29,3050,3050,3050,3050,1,0.08928571428571419
2022-08-30,2800,2800,2800,2800,0,-0.08196721311475408
2022-08-31,2800,2800,2800,2800,0,0.0
2022-09-01,2800,2800,2800,2800,1,0.0
2022-09-02,2800,2800,2800,2800,0,0.0
2022-09-05,2800,2800,2800,2800,0,0.0
2022-09-06,2800,2800,2800,2800,0,0.0
2022-09-07,2800,2800,2700,2700,2,-0.0357142857142857
2022-09-08,2700,2700,2700,2700,1,0.0
2022-09-13,2700,2700,2700,2700,0,0.0
2022-09-14,2700,2700,2700,2700,0,0.0
2022-09-15,2700,2700,2700,2700,0,0.0
2022-09-16,2700,2700,2700,2700,0,0.0
2022-09-19,2700,2700,2700,2700,0,0.0
2022-09-20,2700,2700,2700,2700,0,0.0
2022-09-21,2700,2700,2700,2700,0,0.0
2022-09-22,2675,2675,2675,2675,0,-0.0092592592592593
2022-09-23,2675,2675,2675,2675,0,0.0
2022-09-26,2675,2675,2675,2675,0,0.0
2022-09-27,2675,2675,2675,2675,0,0.0
2022-09-28,2675,2675,2675,2675,0,0.0
2022-09-29,2675,2675,2675,2675,0,0.0
2022-09-30,2675,2675,2675,2675,0,0.0
2022-10-04,2670,2670,2670,2670,1,-0.0018691588785046953
2022-10-05,2670,2670,2670,2670,0,0.0
2022-10-06,3050,3050,3050,3050,1,0.14232209737827706
2022-10-07,2700,2700,2700,2700,0,-0.11475409836065575
2022-10-11,2295,3035,2295,3035,11,0.124074074074074
2022-10-12,2585,2585,2585,2585,0,-0.1482701812191104
2022-10-13,2585,2585,2585,2585,0,0.0
2022-10-14,2970,2970,2580,2580,2,-0.0019342359767892114
2022-10-17,2580,2580,2580,2580,0,0.0
2022-10-18,2580,2580,2580,2580,0,0.0
2022-10-19,2580,2580,2580,2580,0,0.0
2022-10-20,2580,2580,2580,2580,0,0.0
2022-10-21,2580,2580,2580,2580,0,0.0
2022-10-24,2500,2500,2500,2500,1,-0.03100775193798455
2022-10-25,2500,2500,2500,2500,0,0.0
2022-10-26,2500,2500,2500,2500,0,0.0
2022-10-27,2500,2500,2500,2500,0,0.0
2022-10-28,2500,2500,2500,2500,0,0.0
2022-10-31,2150,2500,2150,2500,2,0.0
2022-11-01,2870,2870,2870,2870,1,0.1479999999999999
2022-11-02,2700,2700,2700,2700,0,-0.059233449477351874
2022-11-03,2700,2700,2700,2700,0,0.0
2022-11-04,2700,2700,2700,2700,0,0.0
2022-11-07,2690,2690,2690,2690,0,-0.0037037037037036535
2022-11-08,2690,2690,2690,2690,0,0.0
2022-11-09,2690,2690,2690,2690,0,0.0
2022-11-10,2685,2685,2685,2685,0,-0.0018587360594795044
2022-11-11,2685,2685,2685,2685,0,0.0
2022-11-14,2680,2680,2680,2680,0,-0.0018621973929237035
2022-11-15,2675,2675,2675,2675,0,-0.001865671641791078
2022-11-16,2405,2405,2405,2405,42,-0.10093457943925233
2022-11-17,2045,2045,2045,2045,1,-0.1496881496881497
2022-11-18,2045,2045,2045,2045,0,0.0
2022-11-21,2045,2045,2045,2045,0,0.0
2022-11-22,2045,2045,2045,2045,0,0.0
2022-11-23,2045,2045,2045,2045,0,0.0
2022-11-24,1740,1740,1740,1740,1,-0.14914425427872857
2022-11-25,1740,1740,1740,1740,1,0.0
2022-11-28,1740,1740,1740,1740,0,0.0
2022-11-29,1990,1990,1990,1990,0,0.14367816091954033
2022-11-30,1695,1695,1695,1695,864,-0.14824120603015079
2022-12-01,1695,1940,1695,1940,740,0.14454277286135686
2022-12-02,1940,1940,1940,1940,0,0.0
2022-12-05,1940,1940,1940,1940,0,0.0
2022-12-06,1940,1940,1940,1940,0,0.0
2022-12-07,1940,1940,1940,1940,1,0.0
2022-12-08,1940,1940,1940,1940,0,0.0
2022-12-09,1940,1940,1940,1940,0,0.0
2022-12-12,1940,1940,1940,1940,0,0.0
2022-12-13,1940,1940,1940,1940,0,0.0
2022-12-14,2220,2220,2220,2220,0,0.14432989690721643
2022-12-15,2220,2220,2220,2220,0,0.0
2022-12-16,2220,2220,2220,2220,0,0.0
2022-12-19,2220,2220,2220,2220,0,0.0
2022-12-20,2200,2200,2200,2200,1,-0.009009009009009028
2022-12-21,2200,2200,2200,2200,0,0.0
2022-12-22,2520,2520,2520,2520,0,0.1454545454545455
2022-12-23,2520,2520,2520,2520,0,0.0
2022-12-26,2400,2400,2400,2400,1,-0.04761904761904767
2022-12-27,2040,2040,2040,2040,3,-0.15000000000000002
2022-12-28,2040,2040,2040,2040,0,0.0
2022-12-29,2040,2040,2040,2040,0,0.0
2023-01-02,2040,2040,2040,2040,1,0.0
2023-01-03,2040,2040,2040,2040,0,0.0
2023-01-04,2040,2040,2040,2040,0,0.0
2023-01-05,2040,2040,2040,2040,0,0.0
2023-01-06,2040,2040,2040,2040,0,0.0
2023-01-09,1735,1735,1735,1735,820,-0.14950980392156865
2023-01-10,1990,1990,1990,1990,0,0.14697406340057628
2023-01-11,2280,2280,2280,2280,1,0.14572864321608048
2023-01-12,2280,2280,2280,2280,0,0.0
2023-01-13,2280,2280,2280,2280,0,0.0
2023-01-16,2580,2580,2580,2580,0,0.13157894736842102
2023-01-17,2580,2580,2580,2580,0,0.0
2023-01-18,2900,2900,2900,2900,1,0.12403100775193798
2023-01-19,3335,3335,3000,3000,7,0.034482758620689724
2023-01-20,3445,3445,3445,3445,1,0.14833333333333343
2023-01-25,3445,3445,3445,3445,1,0.0
2023-01-26,3440,3440,3440,3440,0,-0.0014513788098693414
2023-01-27,3925,3925,3925,3925,1,0.14098837209302317
2023-01-30,3925,3925,3925,3925,1,0.0
2023-01-31,3925,3925,3925,3925,1,0.0
2023-02-01,4400,4400,4400,4400,4,0.12101910828025475
2023-02-02,4400,4400,4400,4400,0,0.0
2023-02-03,3740,3740,3740,3740,0,-0.15000000000000002
2023-02-06,3720,3720,3720,3720,1,-0.005347593582887722
2023-02-07,3580,3580,3580,3580,0,-0.037634408602150504
2023-02-08,3575,3575,3575,3575,1,-0.0013966480446927498
2023-02-09,3040,3570,3040,3570,2,-0.0013986013986013734
2023-02-10,3565,3565,3565,3565,0,-0.0014005602240896309
2023-02-13,3565,3565,3565,3565,0,0.0
2023-02-14,3455,3455,3455,3455,0,-0.030855539971949564
2023-02-15,2940,3690,2940,3690,19,0.06801736613603482
2023-02-16,3140,3140,3140,3140,0,-0.14905149051490518
2023-02-17,3585,3585,3585,3585,1,0.14171974522292996
2023-02-20,3555,3555,3555,3555,0,-0.008368200836820106
2023-02-21,3540,3540,3540,3540,0,-0.00421940928270037
2023-02-22,3540,3540,3540,3540,0,0.0
2023-02-23,3540,3540,3540,3540,0,0.0
2023-02-24,3540,3540,3540,3540,0,0.0
2023-02-27,3540,3540,3540,3540,0,0.0
2023-02-28,3540,3540,3540,3540,0,0.0
2023-03-02,3540,3540,3540,3540,0,0.0
2023-03-03,3540,3540,3540,3540,0,0.0
2023-03-06,3540,3540,3540,3540,0,0.0
2023-03-07,3540,3540,3540,3540,0,0.0
2023-03-08,3500,3500,3500,3500,0,-0.011299435028248594
2023-03-09,3495,3495,3495,3495,0,-0.0014285714285714457
2023-03-10,2975,2975,2975,2975,0,-0.14878397711015734
2023-03-13,2530,3395,2530,3395,2,0.14117647058823524
2023-03-14,3390,3390,3390,3390,0,-0.0014727540500736325
2023-03-15,3350,3350,3350,3350,0,-0.01179941002949858
2023-03-16,3345,3345,3345,3345,0,-0.0014925373134327957
2023-03-17,3340,3340,3340,3340,0,-0.001494768310911776
2023-03-20,3335,3335,3335,3335,0,-0.0014970059880239361
2023-03-21,2835,3320,2835,3320,51,-0.004497751124437732
2023-03-22,3780,3780,3780,3780,1,0.13855421686746983
2023-03-23,3215,3215,3215,3215,1,-0.14947089947089942
2023-03-24,3175,3175,3175,3175,0,-0.01244167962674958
2023-03-27,3145,3145,3145,3145,0,-0.009448818897637823
2023-03-28,3075,3075,3075,3075,0,-0.022257551669316422
2023-03-29,3075,3075,3075,3075,0,0.0
2023-03-30,3070,3070,3070,3070,0,-0.001626016260162566
2023-03-31,3530,3530,3530,3530,1,0.14983713355048867
2023-04-03,3100,3100,3100,3100,1,-0.12181303116147313
2023-04-04,3100,3100,3100,3100,0,0.0
2023-04-05,3100,3100,3100,3100,0,0.0
2023-04-06,2635,2635,2635,2635,1,-0.15000000000000002
2023-04-07,2630,2630,2240,2240,40,-0.14990512333965844
2023-04-10,2240,2240,2200,2200,46,-0.017857142857142905
2023-04-11,2200,2530,1870,2530,253,0.1499999999999999
2023-04-12,2905,2905,2905,2905,1,0.14822134387351782
2023-04-13,2905,3135,2905,3135,102,0.0791738382099827
2023-04-14,3135,3135,3135,3135,0,0.0
2023-04-17,3135,3135,3135,3135,100,0.0
2023-04-18,3130,3130,3130,3130,0,-0.0015948963317384823
2023-04-19,3125,3125,3125,3125,0,-0.0015974440894568342
2023-04-20,3150,3150,3065,3145,327,0.006399999999999961
2023-04-21,3140,3140,3140,3140,0,-0.0015898251192368873
2023-04-24,3140,3140,3140,3140,0,0.0
2023-04-25,3135,3135,3135,3135,0,-0.0015923566878981443
2023-04-26,3130,3130,3130,3130,0,-0.0015948963317384823
2023-04-27,3130,3130,3130,3130,0,0.0
2023-04-28,3110,3110,3110,3110,0,-0.006389776357827448
2023-05-02,3100,3100,3100,3100,0,-0.003215434083601254
2023-05-03,3100,3100,3100,3100,0,0.0
2023-05-04,3095,3095,3095,3095,0,-0.001612903225806428
2023-05-08,3090,3090,3090,3090,0,-0.001615508885298822
2023-05-09,3090,3090,3090,3090,0,0.0
2023-05-10,3090,3090,3090,3090,0,0.0
2023-05-11,3090,3090,3090,3090,0,0.0
2023-05-12,3000,3000,3000,3000,0,-0.029126213592232997
2023-05-15,3000,3000,3000,3000,0,0.0
2023-05-16,3130,3130,3130,3130,1,0.043333333333333224
2023-05-17,3130,3130,3130,3130,8,0.0
2023-05-18,3120,3120,3120,3120,0,-0.0031948881789137795
2023-05-19,3100,3100,3100,3100,0,-0.0064102564102563875
2023-05-22,3095,3095,3095,3095,0,-0.001612903225806428
2023-05-23,3000,3000,3000,3000,0,-0.030694668820678506
2023-05-24,3000,3000,3000,3000,0,0.0
2023-05-25,3000,3000,3000,3000,0,0.0
2023-05-26,3000,3000,3000,3000,0,0.0
2023-05-30,3000,3000,3000,3000,0,0.0
2023-05-31,3000,3000,3000,3000,0,0.0
2023-06-01,3000,3000,3000,3000,0,0.0
2023-06-02,3000,3000,3000,3000,0,0.0
2023-06-05,3000,3000,3000,3000,0,0.0
2023-06-07,2700,2700,2700,2700,0,-0.09999999999999998
2023-06-08,2295,2295,2295,2295,119,-0.15000000000000002
2023-06-09,2635,2635,2635,2635,0,0.14814814814814814
2023-06-12,2635,2635,2635,2635,0,0.0
2023-06-13,2635,2635,2635,2635,0,0.0
2023-06-14,2635,2635,2635,2635,0,0.0
2023-06-15,2635,2635,2635,2635,0,0.0
2023-06-16,2635,2635,2635,2635,0,0.0
2023-06-19,3030,3030,3030,3030,1,0.14990512333965844
2023-06-20,3030,3030,3030,3030,0,0.0
2023-06-21,3030,3030,3030,3030,0,0.0
2023-06-22,3030,3030,3030,3030,0,0.0
2023-06-23,3030,3030,3030,3030,0,0.0
2023-06-26,3030,3030,3030,3030,0,0.0
2023-06-27,3030,3030,3030,3030,0,0.0
2023-06-28,3030,3030,3030,3030,0,0.0
2023-06-29,3030,3030,3030,3030,0,0.0
2023-06-30,3030,3030,3030,3030,0,0.0
2023-07-03,3030,3030,3030,3030,0,0.0
2023-07-04,3025,3025,3025,3025,0,-0.0016501650165016146
2023-07-05,3025,3025,3025,3025,0,0.0
2023-07-06,2700,2700,2700,2700,0,-0.1074380165289256
2023-07-07,2700,2700,2700,2700,0,0.0
2023-07-10,2400,2400,2400,2400,0,-0.11111111111111116
2023-07-11,2750,2750,2750,2750,0,0.14583333333333326
2023-07-12,2400,2400,2400,2400,0,-0.12727272727272732
2023-07-13,2100,2100,2100,2100,0,-0.125
2023-07-14,2100,2100,2100,2100,0,0.0
