Date,Open,High,Low,Close,Volume,Change
2022-01-03,12250,12500,12000,12450,482113,0.012195121951219523
2022-01-04,12250,12350,11900,12150,454742,-0.02409638554216864
2022-01-05,11900,12000,11150,11450,636680,-0.057613168724279795
2022-01-06,11100,11700,11050,11250,435482,-0.017467248908296984
2022-01-07,11550,12050,11500,11900,506348,0.057777777777777706
2022-01-10,11700,11800,11350,11550,253910,-0.02941176470588236
2022-01-11,11550,11650,11250,11450,167773,-0.008658008658008698
2022-01-12,11700,11700,11350,11500,175655,0.004366812227074135
2022-01-13,11500,11600,11250,11400,170818,-0.008695652173912993
2022-01-14,11250,11400,11000,11300,206339,-0.00877192982456143
2022-01-17,11300,11300,10750,10950,218836,-0.030973451327433676
2022-01-18,10950,11300,10750,11000,214400,0.004566210045662045
2022-01-19,10800,11300,10750,11200,253601,0.018181818181818077
2022-01-20,11050,11350,10950,11250,166914,0.0044642857142858094
2022-01-21,11250,11900,10600,11100,927067,-0.013333333333333308
2022-01-24,10900,10950,10500,10700,241394,-0.036036036036036
2022-01-25,10850,10850,10250,10600,289713,-0.009345794392523366
2022-01-26,10600,10950,10400,10600,243892,0.0
2022-01-27,10750,10800,10150,10600,309995,0.0
2022-01-28,10850,11550,10450,11500,441413,0.08490566037735858
2022-02-03,11550,11700,11050,11150,342664,-0.0304347826086957
2022-02-04,11000,11350,10950,11250,257004,0.008968609865470878
2022-02-07,11250,11350,11000,11050,148575,-0.01777777777777778
2022-02-08,11100,11150,10500,10600,275588,-0.040723981900452455
2022-02-09,10700,10850,10550,10800,121935,0.018867924528301883
2022-02-10,10900,11050,10650,10800,125839,0.0
2022-02-11,10600,10700,10400,10500,139068,-0.02777777777777779
2022-02-14,10150,10250,9720,9780,434935,-0.06857142857142862
2022-02-15,9600,10200,9540,9970,334988,0.01942740286298572
2022-02-16,10350,10600,10250,10350,236315,0.03811434302908734
2022-02-17,10350,10450,10000,10150,216094,-0.019323671497584516
2022-02-18,9970,10550,9970,10400,147210,0.024630541871921263
2022-02-21,10200,10400,10050,10350,90760,-0.004807692307692291
2022-02-22,10050,10350,10050,10050,82204,-0.02898550724637683
2022-02-23,10150,10300,10000,10200,85856,0.014925373134328401
2022-02-24,10050,10150,9860,9880,160001,-0.03137254901960784
2022-02-25,10050,10400,10000,10300,148963,0.04251012145748989
2022-02-28,10200,10400,10100,10250,79346,-0.004854368932038833
2022-03-02,10250,10450,10200,10300,73407,0.004878048780487809
2022-03-03,10550,10700,10350,10550,132847,0.024271844660194164
2022-03-04,10400,10450,10150,10250,87676,-0.028436018957345932
2022-03-07,10000,10100,9920,9970,117060,-0.02731707317073173
2022-03-08,9840,10050,9780,9840,78334,-0.013039117352056206
2022-03-10,10000,10150,9940,9940,46136,0.010162601626016343
2022-03-11,9900,10050,9670,9820,122981,-0.012072434607645843
2022-03-14,9820,10050,9520,9570,233092,-0.025458248472505107
2022-03-15,9570,9600,9420,9490,58863,-0.008359456635318674
2022-03-16,9650,9650,9430,9570,110567,0.008429926238145313
2022-03-17,9700,9970,9700,9960,201764,0.040752351097178785
2022-03-18,9990,10100,9850,10100,89255,0.014056224899598346
2022-03-21,10200,10550,9970,10450,214328,0.034653465346534684
2022-03-22,10300,10600,10250,10500,136396,0.004784688995215225
2022-03-23,10500,10700,10350,10650,180533,0.014285714285714235
2022-03-24,10500,10650,10450,10600,72723,-0.0046948356807511304
2022-03-25,10600,10600,10350,10450,82889,-0.014150943396226467
2022-03-28,10400,10600,10300,10450,88486,0.0
2022-03-29,10450,10550,10300,10500,59034,0.004784688995215225
2022-03-30,10600,10800,10350,10600,157063,0.00952380952380949
2022-03-31,10500,10600,10450,10600,65156,0.0
2022-04-01,10550,10550,10250,10550,83962,-0.004716981132075526
2022-04-04,10500,10950,10350,10950,240980,0.03791469194312791
2022-04-05,10900,11050,10750,10950,72433,0.0
2022-04-06,10800,10800,10450,10700,115268,-0.022831050228310557
2022-04-07,10700,11300,10550,11250,356544,0.051401869158878455
2022-04-08,11600,11850,11150,11350,536996,0.008888888888888946
2022-04-11,11200,12050,11150,11650,679487,0.026431718061673992
2022-04-12,11550,12100,11450,11900,581624,0.02145922746781115
2022-04-13,12000,12000,11450,11800,328300,-0.008403361344537785
2022-04-14,11850,11850,11450,11700,279270,-0.008474576271186418
2022-04-15,11500,12250,11450,12200,400615,0.042735042735042805
2022-04-18,12200,12200,11650,11650,269490,-0.04508196721311475
2022-04-19,11700,11850,11600,11750,121384,0.008583690987124415
2022-04-20,11750,12300,11650,11850,270683,0.008510638297872353
2022-04-21,12000,12750,12000,12450,845045,0.05063291139240511
2022-04-22,12250,12850,12250,12650,273856,0.016064257028112428
2022-04-25,12300,12900,12300,12400,451907,-0.01976284584980237
2022-04-26,12650,12700,12150,12500,226238,0.008064516129032251
2022-04-27,12150,12750,12100,12400,277589,-0.008000000000000007
2022-04-28,12500,12500,11750,12050,327490,-0.028225806451612878
2022-04-29,12150,12350,11950,12100,113715,0.004149377593360981
2022-05-02,11900,12400,11800,12350,165783,0.02066115702479343
2022-05-03,12450,12800,12300,12600,216288,0.020242914979757165
2022-05-04,12650,12750,12200,12650,182435,0.003968253968253954
2022-05-06,12800,12800,12350,12450,186228,-0.015810276679841917
2022-05-09,12350,12400,11550,12000,306616,-0.03614457831325302
2022-05-10,11700,12200,11500,12150,327708,0.012499999999999956
2022-05-11,12100,12200,11750,12100,210110,-0.004115226337448541
2022-05-12,11800,12500,11750,11850,239326,-0.02066115702479343
2022-05-13,12200,14500,12050,13850,5378747,0.16877637130801681
2022-05-16,14150,14700,13900,14350,2211673,0.036101083032491044
2022-05-17,14250,14650,14200,14650,881311,0.020905923344947785
2022-05-18,15100,15400,13300,13350,2453502,-0.0887372013651877
2022-05-19,12950,13650,12950,13400,896191,0.0037453183520599342
2022-05-20,13250,13350,12950,13000,554959,-0.02985074626865669
2022-05-23,13150,13300,12750,13150,494906,0.011538461538461497
2022-05-24,13100,13150,12450,12450,398611,-0.05323193916349811
2022-05-25,12650,12900,12300,12650,278493,0.016064257028112428
2022-05-26,12850,13300,12800,13000,461966,0.027667984189723382
2022-05-27,13300,13350,12900,12950,228443,-0.0038461538461538325
2022-05-30,13200,13200,12600,12750,291202,-0.015444015444015413
2022-05-31,12700,12850,12500,12800,231274,0.0039215686274509665
2022-06-02,12700,12800,12600,12750,113215,-0.00390625
2022-06-03,12900,12950,12200,12400,272958,-0.027450980392156876
2022-06-07,12200,12350,11900,12050,273608,-0.028225806451612878
2022-06-08,12050,12150,11800,11950,139517,-0.008298755186721962
2022-06-09,11800,12450,11450,11900,601576,-0.004184100418409997
2022-06-10,11750,12000,11650,11900,111535,0.0
2022-06-13,11450,11550,11000,11100,463897,-0.0672268907563025
2022-06-14,10750,11300,10550,11300,378229,0.018018018018018056
2022-06-15,11050,11550,10950,11400,305109,0.008849557522123908
2022-06-16,11600,11750,11100,11350,275314,-0.004385964912280715
2022-06-17,10950,11150,10800,11000,173549,-0.03083700440528636
2022-06-20,11050,11150,10050,10150,396268,-0.07727272727272727
2022-06-21,10300,10350,10050,10250,193353,0.009852216748768461
2022-06-22,10400,10550,9510,9600,369321,-0.06341463414634141
2022-06-23,9550,9660,8900,8950,714894,-0.06770833333333337
2022-06-24,9000,9320,8900,9320,323178,0.04134078212290504
2022-06-27,9400,9860,9330,9800,196070,0.05150214592274671
2022-06-28,9700,10100,9700,10100,211075,0.030612244897959107
2022-06-29,9860,10050,9800,9980,173441,-0.011881188118811892
2022-06-30,9960,9960,9390,9630,222317,-0.0350701402805611
2022-07-01,9540,9760,9330,9450,108450,-0.01869158878504673
2022-07-04,9340,9470,8950,9300,137822,-0.015873015873015928
2022-07-05,9300,9760,9250,9710,158488,0.04408602150537644
2022-07-06,9710,9840,9450,9550,90963,-0.016477857878475777
2022-07-07,9640,9940,9570,9810,103170,0.027225130890052407
2022-07-08,10200,10950,9900,10050,1445953,0.024464831804281273
2022-07-11,10100,10150,9820,10100,164321,0.004975124378109541
2022-07-12,9900,9970,9640,9660,181633,-0.0435643564356436
2022-07-13,9650,9800,9460,9780,119364,0.012422360248447228
2022-07-14,9780,10000,9670,10000,124076,0.02249488752556239
2022-07-15,10000,10350,9840,10300,200283,0.030000000000000027
2022-07-18,10500,10700,10400,10500,288576,0.01941747572815533
2022-07-19,10400,10600,10200,10600,192296,0.00952380952380949
2022-07-20,10850,10900,10350,10600,220377,0.0
2022-07-21,10550,10900,10400,10850,189627,0.02358490566037741
2022-07-22,10850,11000,10700,10900,176752,0.004608294930875667
2022-07-25,10900,11100,10800,11100,225367,0.0183486238532109
2022-07-26,11050,11250,10950,11200,151046,0.009009009009008917
2022-07-27,11000,11300,11000,11200,136184,0.0
2022-07-28,11400,11450,11150,11300,186501,0.008928571428571397
2022-07-29,11300,11500,11100,11350,172448,0.004424778761061843
2022-08-01,11450,11600,11350,11600,139765,0.022026431718061623
2022-08-02,11600,11750,11350,11550,165116,-0.004310344827586188
2022-08-03,11500,11500,11100,11350,127342,-0.017316017316017285
2022-08-04,11350,11700,11300,11700,304955,0.03083700440528636
2022-08-05,11750,11850,11500,11850,209492,0.012820512820512775
2022-08-08,11850,11850,11350,11550,329208,-0.025316455696202556
2022-08-09,11550,11550,10950,11350,357213,-0.017316017316017285
2022-08-10,11050,11600,11000,11600,244512,0.022026431718061623
2022-08-11,11850,12200,11800,11900,358806,0.02586206896551735
2022-08-12,11850,12050,11750,12000,144817,0.008403361344537785
2022-08-16,12000,12550,11900,12350,359422,0.029166666666666563
2022-08-17,12450,12450,12000,12350,185968,0.0
2022-08-18,12150,12700,12100,12600,244921,0.020242914979757165
2022-08-19,12650,12650,12350,12500,126550,-0.007936507936507908
2022-08-22,12250,12450,12100,12200,142858,-0.02400000000000002
2022-08-23,12050,12350,11900,12200,149684,0.0
2022-08-24,12350,12350,12000,12300,67557,0.008196721311475308
2022-08-25,12300,12500,12100,12450,122643,0.012195121951219523
2022-08-26,12500,12750,12250,12400,130111,-0.004016064257028162
2022-08-29,11800,12200,11700,12100,238630,-0.024193548387096753
2022-08-30,12200,12950,12200,12750,433439,0.05371900826446274
2022-08-31,12600,12950,12550,12900,156911,0.0117647058823529
2022-09-01,12800,13200,12450,12650,428876,-0.019379844961240345
2022-09-02,12700,12700,12200,12400,156906,-0.01976284584980237
2022-09-05,12200,12350,11900,12100,226105,-0.024193548387096753
2022-09-06,12100,12350,11900,12300,124227,0.016528925619834656
2022-09-07,12300,12450,12000,12450,149014,0.012195121951219523
2022-09-08,12500,12650,12150,12200,146219,-0.02008032128514059
2022-09-13,12350,13050,12350,13050,293112,0.069672131147541
2022-09-14,12550,12750,12400,12600,266548,-0.03448275862068961
2022-09-15,12800,13250,12600,13150,325819,0.04365079365079372
2022-09-16,12950,13200,12700,12950,211815,-0.01520912547528519
2022-09-19,13150,13200,12400,12450,259710,-0.038610038610038644
2022-09-20,12650,12950,12600,12750,148067,0.024096385542168752
2022-09-21,12600,12650,12150,12350,221621,-0.03137254901960784
2022-09-22,11950,12450,11900,12350,185006,0.0
2022-09-23,12200,12300,10300,10400,1267215,-0.1578947368421053
2022-09-26,10000,10250,9550,9580,620192,-0.0788461538461539
2022-09-27,9600,9890,9430,9750,313355,0.017745302713987554
2022-09-28,9790,9790,9110,9210,285009,-0.055384615384615365
2022-09-29,9420,9520,8800,8970,211696,-0.026058631921824116
2022-09-30,8750,8910,8500,8770,219179,-0.022296544035674493
2022-10-04,9030,9340,8960,9340,125895,0.06499429874572415
2022-10-05,9700,10650,9440,9570,718427,0.024625267665952855
2022-10-06,9660,10300,9660,10150,273136,0.06060606060606055
2022-10-07,9990,10950,9980,10700,463752,0.054187192118226646
2022-10-11,10450,10550,10100,10350,283077,-0.032710280373831724
2022-10-12,10300,10950,10250,10550,241354,0.019323671497584627
2022-10-13,10550,10550,10250,10300,130485,-0.023696682464455
2022-10-14,10800,10850,10400,10600,168376,0.029126213592232997
2022-10-17,10100,10600,10100,10450,153387,-0.014150943396226467
2022-10-18,10650,10700,10000,10200,302493,-0.02392344497607657
2022-10-19,10250,10350,10000,10100,203764,-0.009803921568627416
2022-10-20,10050,10200,9580,9840,242029,-0.025742574257425765
2022-10-21,9780,9880,9680,9780,91309,-0.0060975609756097615
2022-10-24,9960,10100,9850,9970,136677,0.01942740286298572
2022-10-25,10000,10750,10000,10600,320906,0.06318956870611836
2022-10-26,10550,10800,10250,10300,158456,-0.028301886792452824
2022-10-27,10400,10550,10200,10350,104939,0.004854368932038833
2022-10-28,10200,10700,10000,10350,216415,0.0
2022-10-31,10600,10600,10350,10550,86493,0.019323671497584627
2022-11-01,10600,10700,10400,10550,104122,0.0
2022-11-02,10550,11000,10200,11000,268307,0.042654028436019065
2022-11-03,11300,11700,11150,11450,586041,0.040909090909091006
2022-11-04,11400,11600,11200,11200,288963,-0.02183406113537123
2022-11-07,11250,11500,11100,11250,153816,0.0044642857142858094
2022-11-08,11300,11850,11300,11600,313313,0.03111111111111109
2022-11-09,11650,11650,11400,11500,133631,-0.008620689655172376
2022-11-10,11350,11500,11250,11400,83144,-0.008695652173912993
2022-11-11,11800,11850,11500,11650,178446,0.021929824561403466
2022-11-14,11650,11650,11250,11350,119527,-0.025751072961373356
2022-11-15,11300,11800,11300,11750,152093,0.03524229074889873
2022-11-16,11850,11950,11600,11950,201922,0.017021276595744705
2022-11-17,11750,11750,11400,11550,119840,-0.03347280334728031
2022-11-18,11500,11800,11500,11550,114570,0.0
2022-11-21,11950,12300,11250,11450,579995,-0.008658008658008698
2022-11-22,11250,11450,11100,11250,97061,-0.017467248908296984
2022-11-23,11350,11750,11250,11550,207782,0.026666666666666616
2022-11-24,11650,11800,11450,11700,150073,0.01298701298701288
2022-11-25,11800,11850,11500,11550,86840,-0.012820512820512775
2022-11-28,11500,11550,11150,11300,101308,-0.02164502164502169
2022-11-29,11500,11800,11400,11550,147322,0.022123893805309658
2022-11-30,11500,11700,11400,11500,94780,-0.0043290043290042934
2022-12-01,11900,12000,11550,11650,219306,0.01304347826086949
2022-12-02,11650,11650,11250,11350,112494,-0.025751072961373356
2022-12-05,11450,11750,11400,11700,226857,0.03083700440528636
2022-12-06,11600,11600,11200,11250,154427,-0.038461538461538436
2022-12-07,11050,11250,11000,11150,97632,-0.008888888888888835
2022-12-08,11050,11450,11050,11250,101995,0.008968609865470878
2022-12-09,11350,11450,11050,11100,137564,-0.013333333333333308
2022-12-12,11050,11100,10600,10750,173518,-0.03153153153153154
2022-12-13,10850,10900,10450,10700,103811,-0.0046511627906976605
2022-12-14,10750,11050,10700,11000,100518,0.028037383177569986
2022-12-15,10850,10900,10650,10650,62932,-0.03181818181818186
2022-12-16,10350,10550,10300,10350,130676,-0.028169014084507005
2022-12-19,10300,10550,10150,10150,93620,-0.019323671497584516
