Date,Open,High,Low,Close,Volume,Change
2022-01-03,19000,19300,18800,19300,2193,0.010471204188481575
2022-01-04,19350,19350,18900,18900,1159,-0.020725388601036232
2022-01-05,19100,19100,18700,19100,1074,0.010582010582010692
2022-01-06,18800,19050,18650,19050,1637,-0.002617801047120394
2022-01-07,19050,19100,18750,19050,643,0.0
2022-01-10,19250,19250,18800,18900,462,-0.007874015748031482
2022-01-11,18950,19100,18650,18800,1310,-0.005291005291005346
2022-01-12,18800,19000,18600,19000,3080,0.010638297872340496
2022-01-13,18950,19100,18750,19100,2068,0.0052631578947368585
2022-01-14,19100,19100,18800,19000,281,-0.005235602094240788
2022-01-17,19000,19000,18700,18750,624,-0.013157894736842146
2022-01-18,18800,19050,18500,18750,1066,0.0
2022-01-19,18750,18800,18500,18750,409,0.0
2022-01-20,18750,18950,18650,18800,165,0.002666666666666595
2022-01-21,18600,18900,18600,18800,284,0.0
2022-01-24,18800,18950,18400,18800,1894,0.0
2022-01-25,18800,18850,17800,18200,3199,-0.03191489361702127
2022-01-26,18200,18200,17900,18050,1307,-0.008241758241758212
2022-01-27,18200,18200,17600,17600,1693,-0.024930747922437657
2022-01-28,17450,18050,17450,18050,753,0.02556818181818188
2022-02-03,18100,18700,18050,18650,1194,0.0332409972299168
2022-02-04,18650,20000,18500,19500,14536,0.04557640750670244
2022-02-07,19200,19900,19100,19650,5351,0.007692307692307665
2022-02-08,19950,20000,19550,19750,3140,0.0050890585241729624
2022-02-09,19850,20000,19550,19700,1786,-0.0025316455696202667
2022-02-10,19800,20900,19750,20450,11928,0.038071065989847774
2022-02-11,19550,20150,19550,19700,7505,-0.03667481662591687
2022-02-14,19700,19950,19300,19400,2230,-0.015228426395939132
2022-02-15,19400,19450,18800,19400,2136,0.0
2022-02-16,19400,19500,19100,19450,5101,0.002577319587628857
2022-02-17,19450,19850,19250,19550,1873,0.005141388174807249
2022-02-18,19450,21350,19400,20300,21951,0.038363171355498826
2022-02-21,20600,21000,20350,20850,9641,0.027093596059113212
2022-02-22,20600,20700,20050,20400,4502,-0.021582733812949617
2022-02-23,20600,20700,20000,20150,1525,-0.01225490196078427
2022-02-24,20350,20350,19350,19850,2910,-0.01488833746898266
2022-02-25,20150,20300,19800,20100,1194,0.012594458438287104
2022-02-28,20250,20250,19850,20000,616,-0.00497512437810943
2022-03-02,19950,20400,19850,20150,1502,0.007500000000000062
2022-03-03,20250,20300,20000,20100,971,-0.002481389578163795
2022-03-04,20100,20400,20000,20300,2453,0.00995024875621886
2022-03-07,20450,20450,19650,19900,2548,-0.019704433497536922
2022-03-08,20200,20300,19500,19900,3683,0.0
2022-03-10,19900,20350,19900,20350,1947,0.022613065326633208
2022-03-11,20200,20400,20000,20300,1927,-0.002457002457002422
2022-03-14,20400,20450,20100,20300,1721,0.0
2022-03-15,20300,20350,20100,20250,1148,-0.0024630541871921707
2022-03-16,20250,20500,20150,20350,1244,0.004938271604938205
2022-03-17,20650,20650,20000,20350,1082,0.0
2022-03-18,20450,20600,20150,20350,2413,0.0
2022-03-21,20450,20500,20300,20400,888,0.002457002457002533
2022-03-22,20500,20500,20300,20400,1346,0.0
2022-03-23,20400,20550,20300,20450,1483,0.002450980392156854
2022-03-24,20450,20550,20250,20550,4048,0.004889975550122161
2022-03-25,20550,20650,20400,20600,1275,0.0024330900243310083
2022-03-28,20650,20650,20250,20500,1492,-0.004854368932038833
2022-03-29,20600,20600,20400,20500,1281,0.0
2022-03-30,20600,20600,20300,20500,927,0.0
2022-03-31,20500,20550,20400,20550,1671,0.0024390243902439046
2022-04-01,20550,20750,20350,20600,3645,0.0024330900243310083
2022-04-04,20800,20800,20000,20400,3347,-0.009708737864077666
2022-04-05,20400,20600,20300,20600,1034,0.009803921568627416
2022-04-06,20600,20600,20400,20400,958,-0.009708737864077666
2022-04-07,20400,20400,20200,20300,702,-0.004901960784313708
2022-04-08,20200,20300,20100,20250,1315,-0.0024630541871921707
2022-04-11,20200,20500,20200,20500,2374,0.012345679012345734
2022-04-12,20600,20600,20200,20350,1255,-0.007317073170731714
2022-04-13,20350,20500,20250,20500,865,0.0073710073710073765
2022-04-14,20500,20550,20300,20450,966,-0.0024390243902439046
2022-04-15,20600,20650,20300,20350,1899,-0.004889975550122272
2022-04-18,20450,20750,20350,20650,2371,0.014742014742014753
2022-04-19,20650,20800,20400,20550,2388,-0.004842615012106588
2022-04-20,20650,24900,20600,21700,153075,0.05596107055961075
2022-04-21,21700,21800,21300,21450,18089,-0.011520737327188946
2022-04-22,21300,22050,21000,21600,9514,0.006993006993007089
2022-04-25,21500,22900,21150,22050,19520,0.02083333333333326
2022-04-26,22050,22700,22000,22200,9640,0.006802721088435382
2022-04-27,21750,22050,21450,22050,11626,-0.006756756756756799
2022-04-28,21950,22300,21800,22200,4469,0.006802721088435382
2022-04-29,22050,22050,21550,21700,8329,-0.022522522522522515
2022-05-02,21500,21650,21300,21550,2859,-0.00691244239631339
2022-05-03,21550,22000,21150,21650,5656,0.004640371229698292
2022-05-04,21600,21600,20900,20900,8838,-0.034642032332563466
2022-05-06,20750,20950,20650,20950,1580,0.0023923444976077235
2022-05-09,20900,21100,20650,20950,9000,0.0
2022-05-10,20700,20750,20400,20650,1466,-0.014319809069212375
2022-05-11,20600,20750,20400,20750,4228,0.004842615012106588
2022-05-12,20700,20950,20500,20750,678,0.0
2022-05-13,21000,21000,20500,20850,1950,0.004819277108433662
2022-05-16,21000,21350,20800,21000,1011,0.007194244604316502
2022-05-17,21000,21550,21000,21200,1305,0.00952380952380949
2022-05-18,21300,21300,20700,21150,998,-0.002358490566037763
2022-05-19,21100,21100,20550,20750,861,-0.01891252955082745
2022-05-20,20750,20900,20600,20900,731,0.0072289156626506035
2022-05-23,20850,20950,20550,20900,912,0.0
2022-05-24,20900,20900,20650,20700,585,-0.009569377990430672
2022-05-25,20650,21400,20600,21300,2966,0.02898550724637672
2022-05-26,21250,21250,21000,21250,975,-0.0023474178403756207
2022-05-27,21250,21350,21000,21200,1011,-0.0023529411764705577
2022-05-30,21300,21300,21150,21250,867,0.002358490566037652
2022-05-31,21300,21350,21000,21250,1089,0.0
2022-06-02,21250,21300,21200,21250,371,0.0
2022-06-03,21300,21300,21050,21100,1630,-0.007058823529411784
2022-06-07,21100,21100,20550,20800,1582,-0.014218009478673022
2022-06-08,20800,22100,20100,20700,6139,-0.004807692307692291
2022-06-09,21000,21000,20550,20700,918,0.0
2022-06-10,20500,20900,20450,20700,306,0.0
2022-06-13,20700,20700,20000,20000,2270,-0.033816425120772986
2022-06-14,19700,20100,19450,19900,1857,-0.0050000000000000044
2022-06-15,19900,20300,19750,19900,1053,0.0
2022-06-16,20000,20200,19700,19750,492,-0.007537688442211032
2022-06-17,19050,19650,19050,19500,852,-0.012658227848101222
2022-06-20,19100,19550,18800,19550,937,0.002564102564102555
2022-06-21,19450,19500,19000,19400,477,-0.007672634271099765
2022-06-22,19050,19500,18850,18850,799,-0.028350515463917536
2022-06-23,18600,18900,18150,18350,1170,-0.02652519893899208
2022-06-24,18500,18800,18350,18800,1769,0.02452316076294281
2022-06-27,18950,19150,18800,19100,814,0.015957446808510634
2022-06-28,19000,19100,18950,19100,234,0.0
2022-06-29,19150,19150,18550,19100,403,0.0
2022-06-30,19050,19050,18700,18950,309,-0.007853403141361293
2022-07-01,18700,18950,18600,18850,386,-0.00527704485488123
2022-07-04,18950,19350,18350,18850,384,0.0
2022-07-05,18950,19000,18850,18950,181,0.0053050397877985045
2022-07-06,19000,19050,18800,19000,330,0.0026385224274405594
2022-07-07,19050,19100,18600,19100,349,0.0052631578947368585
2022-07-08,19100,19150,18650,19150,752,0.002617801047120505
2022-07-11,19300,19300,18600,18950,1605,-0.010443864229765065
2022-07-12,18850,18850,18550,18600,278,-0.01846965699208447
2022-07-13,18700,18750,18050,18400,1177,-0.010752688172043001
2022-07-14,18100,19900,18100,18200,7675,-0.010869565217391353
2022-07-15,18100,18450,18050,18300,1214,0.005494505494505475
2022-07-18,18300,18450,18200,18450,1406,0.008196721311475308
2022-07-19,18400,18450,18200,18350,3329,-0.005420054200542035
2022-07-20,18400,18450,18200,18300,2967,-0.0027247956403270157
2022-07-21,18350,18350,18300,18350,257,0.002732240437158362
2022-07-22,18400,18400,18250,18300,1457,-0.0027247956403270157
2022-07-25,18200,18300,18000,18250,1383,-0.002732240437158473
2022-07-26,18050,18500,18050,18150,1546,-0.005479452054794498
2022-07-27,18050,18350,18050,18350,580,0.011019283746556363
2022-07-28,18400,18400,18150,18350,1961,0.0
2022-07-29,18300,18350,18300,18350,1356,0.0
2022-08-01,18300,19500,18250,18650,6119,0.016348773841961872
2022-08-02,18400,18750,18350,18650,330,0.0
2022-08-03,18750,19000,18650,19000,447,0.018766756032171594
2022-08-04,19100,19300,18950,19100,575,0.0052631578947368585
2022-08-05,19100,19200,18650,18650,1156,-0.023560209424083767
2022-08-08,18650,19000,18600,18950,238,0.01608579088471851
2022-08-09,18950,19000,18750,18950,676,0.0
2022-08-10,18950,19000,18750,18950,1800,0.0
2022-08-11,19000,19200,18900,19100,149,0.0079155672823219
2022-08-12,19100,19400,19100,19400,845,0.015706806282722585
2022-08-16,19400,19550,19050,19300,1692,-0.005154639175257714
2022-08-17,19250,19250,18800,19100,1012,-0.010362694300518172
2022-08-18,19100,19100,18750,19100,509,0.0
2022-08-19,19100,19100,18750,19100,2298,0.0
2022-08-22,19050,19100,18550,18700,1507,-0.020942408376963373
2022-08-23,18300,18700,18250,18450,2110,-0.013368983957219305
2022-08-24,18800,18800,18300,18400,856,-0.0027100271002710175
2022-08-25,18450,18600,18300,18450,1949,0.0027173913043478937
2022-08-26,18600,18900,18400,18550,2538,0.005420054200542035
2022-08-29,18150,18400,18050,18400,2679,-0.008086253369272267
2022-08-30,18400,18450,18200,18450,7117,0.0027173913043478937
2022-08-31,18400,18450,18250,18400,485,-0.0027100271002710175
2022-09-01,18400,18400,18100,18350,467,-0.0027173913043477826
2022-09-02,18400,18400,18100,18350,381,0.0
2022-09-05,18300,18350,18050,18300,1859,-0.0027247956403270157
2022-09-06,18300,18300,18150,18300,125,0.0
2022-09-07,18300,18300,17750,18150,1468,-0.008196721311475419
2022-09-08,18150,18150,18000,18100,479,-0.0027548209366391463
2022-09-13,18300,18500,18150,18250,4073,0.008287292817679592
2022-09-14,17950,18200,17950,18100,484,-0.008219178082191747
2022-09-15,18100,18100,17950,18100,1209,0.0
2022-09-16,18100,18100,17700,18000,1525,-0.0055248618784530246
2022-09-19,18000,18000,17650,17900,1231,-0.005555555555555536
2022-09-20,17900,17950,17700,17850,731,-0.0027932960893854997
2022-09-21,17850,18000,17700,17850,457,0.0
2022-09-22,17850,17850,17650,17850,926,0.0
2022-09-23,17850,17850,17350,17500,1540,-0.019607843137254943
2022-09-26,17500,17500,16550,16900,1864,-0.03428571428571425
2022-09-27,16850,18300,16650,17000,5193,0.00591715976331364
2022-09-28,16900,17100,16550,16900,1562,-0.00588235294117645
2022-09-29,16900,17350,16650,17000,373,0.00591715976331364
2022-09-30,16900,17000,16650,17000,1513,0.0
2022-10-04,17250,17250,16750,17000,798,0.0
2022-10-05,17400,17400,16450,16550,2470,-0.026470588235294135
2022-10-06,16650,16850,16600,16850,370,0.01812688821752273
2022-10-07,16800,16800,16600,16750,334,-0.005934718100890191
2022-10-11,16650,16650,15900,16300,1656,-0.0268656716417911
2022-10-12,16300,16750,16000,16750,1285,0.027607361963190247
2022-10-13,16700,16700,16050,16450,1230,-0.017910447761193993
2022-10-14,16250,16550,16250,16550,591,0.006079027355623046
2022-10-17,16400,16450,15750,16050,1803,-0.030211480362537735
2022-10-18,16100,16250,16000,16200,1910,0.009345794392523255
2022-10-19,16200,16200,15950,16050,1539,-0.0092592592592593
2022-10-20,16100,16150,16050,16150,418,0.006230529595015577
2022-10-21,16200,16200,16050,16100,203,-0.003095975232198178
2022-10-24,16350,16350,15950,16150,435,0.0031055900621117516
2022-10-25,16150,16600,15950,16150,968,0.0
2022-10-26,16200,16200,15750,16100,674,-0.003095975232198178
2022-10-27,15900,16100,15900,16100,806,0.0
2022-10-28,16100,16300,16000,16100,704,0.0
2022-10-31,16050,16200,16050,16100,94,0.0
2022-11-01,16100,16200,16000,16200,766,0.006211180124223503
2022-11-02,16200,16550,16150,16350,596,0.0092592592592593
2022-11-03,15800,16550,15800,16350,823,0.0
2022-11-04,16150,16650,16050,16400,829,0.003058103975535076
2022-11-07,16250,16550,16200,16450,1156,0.0030487804878047697
2022-11-08,16500,16600,16250,16450,379,0.0
2022-11-09,16450,16600,16450,16550,725,0.006079027355623046
2022-11-10,16550,16650,16350,16500,524,-0.0030211480362537513
2022-11-11,16700,16700,16450,16550,2943,0.003030303030302939
2022-11-14,16700,16800,16500,16500,784,-0.0030211480362537513
2022-11-15,16650,16650,16250,16650,470,0.009090909090909038
2022-11-16,16700,16700,16300,16600,2428,-0.0030030030030030463
2022-11-17,16700,16700,16500,16650,231,0.003012048192771122
2022-11-18,16750,16750,16450,16650,179,0.0
2022-11-21,16750,17650,16500,17000,10170,0.021021021021021102
2022-11-22,17000,17000,16200,16300,5809,-0.04117647058823526
2022-11-23,16400,16750,16300,16450,1257,0.009202453987730008
2022-11-24,16600,16600,16250,16450,985,0.0
2022-11-25,16500,16500,16150,16200,4759,-0.015197568389057725
2022-11-28,16250,16300,15800,16200,1602,0.0
2022-11-29,16150,16250,16050,16200,744,0.0
2022-11-30,16250,16300,16100,16200,1713,0.0
2022-12-01,16250,16550,16250,16550,2136,0.021604938271605034
2022-12-02,16600,16700,16300,16400,334,-0.009063444108761365
2022-12-05,16400,16600,16250,16450,1689,0.0030487804878047697
2022-12-06,16450,16550,16400,16450,984,0.0
2022-12-07,16550,16550,16350,16500,279,0.003039513677811634
2022-12-08,16500,16650,16250,16500,1005,0.0
2022-12-09,16650,16650,16200,16550,1057,0.003030303030302939
2022-12-12,16550,16600,16500,16550,394,0.0
2022-12-13,16900,16900,16550,16600,722,0.0030211480362538623
2022-12-14,16650,16850,16550,16850,1573,0.015060240963855387
2022-12-15,16800,17000,16650,17000,1660,0.008902077151335286
2022-12-16,16600,16950,16600,16950,848,-0.002941176470588225
2022-12-19,16950,16950,16650,16900,546,-0.002949852507374673
2022-12-20,16850,16900,16650,16900,107,0.0
2022-12-21,16900,17000,16800,17000,1920,0.00591715976331364
2022-12-22,17050,17200,17000,17200,1191,0.0117647058823529
2022-12-23,17150,17250,17100,17250,1959,0.0029069767441860517
2022-12-26,17250,17250,17000,17250,2084,0.0
2022-12-27,17250,17400,17050,17400,4124,0.008695652173912993
2022-12-28,16950,16950,16650,16750,1537,-0.03735632183908044
2022-12-29,16500,17000,16500,16600,126,-0.008955223880596996
2023-01-02,16700,16700,16050,16300,354,-0.01807228915662651
2023-01-03,16450,16450,15700,16200,1448,-0.006134969325153339
2023-01-04,16200,16300,15700,16250,1385,0.0030864197530864335
2023-01-05,16250,16550,16000,16350,179,0.006153846153846176
2023-01-06,16300,16300,15900,16200,2882,-0.00917431192660545
2023-01-09,16350,16400,16200,16350,1203,0.0092592592592593
2023-01-10,16350,16600,16350,16550,390,0.012232415902140747
2023-01-11,16550,16600,16300,16550,356,0.0
2023-01-12,16600,16600,16400,16550,752,0.0
2023-01-13,16600,16700,16500,16700,339,0.009063444108761365
2023-01-16,16700,16800,16550,16800,220,0.0059880239520957446
2023-01-17,16800,16850,16350,16600,1537,-0.011904761904761862
2023-01-18,16750,16750,16300,16500,158,-0.0060240963855421326
2023-01-19,16650,17000,15900,16300,4380,-0.012121212121212088
2023-01-20,16350,16600,16150,16600,349,0.018404907975460016
2023-01-25,16490,16680,16380,16390,1474,-0.012650602409638556
2023-01-26,16390,16390,16290,16300,1772,-0.005491153142159866
2023-01-27,16330,16370,16330,16370,894,0.004294478527607337
2023-01-30,16370,16650,16240,16340,988,-0.0018326206475259843
2023-01-31,16340,16490,16300,16460,228,0.007343941248469932
2023-02-01,16360,16640,16350,16460,331,0.0
2023-02-02,16420,16620,16200,16330,841,-0.007897934386391303
2023-02-03,16330,16490,16330,16410,191,0.004898958971218725
2023-02-06,16360,16370,16320,16340,254,-0.004265691651432091
2023-02-07,16410,16420,16300,16320,726,-0.001223990208078285
