Date,Open,High,Low,Close,Volume,Change
2022-11-04,3601,3601,2951,2976,10020553,
2022-11-07,2988,3088,2926,2964,3046671,-0.0040322580645161255
2022-11-08,3026,3051,2788,2839,2751683,-0.04217273954116063
2022-11-09,2876,2976,2826,2851,1465346,0.004226840436773571
2022-11-10,2801,2888,2776,2876,1611663,0.008768853034023083
2022-11-11,3001,3013,2838,2864,1372133,-0.004172461752433909
2022-11-14,2876,2888,2801,2801,597065,-0.021997206703910588
2022-11-15,2813,2888,2801,2851,586758,0.017850767583005966
2022-11-16,2863,3026,2851,3001,1046591,0.05261311820413894
2022-11-17,2963,2976,2876,2901,589601,-0.033322225924691806
2022-11-18,2901,2938,2813,2826,556256,-0.02585315408479838
2022-11-21,2838,2863,2701,2714,362725,-0.03963198867657469
2022-11-22,2688,2751,2576,2589,406005,-0.04605747973470886
2022-11-23,2613,2638,2551,2576,261032,-0.005021243723445368
2022-11-24,2588,2726,2588,2614,235812,0.014751552795031042
2022-11-25,2613,2713,2613,2651,157795,0.014154552410099441
2022-11-28,2638,2688,2576,2576,148572,-0.028291210863825023
2022-11-29,2576,2588,2481,2526,363549,-0.01940993788819878
2022-11-30,2526,2601,2498,2564,276605,0.0150435471100554
2022-12-01,2613,2663,2563,2614,166719,0.01950078003120126
2022-12-02,2638,2651,2576,2576,198505,-0.014537107880642663
2022-12-05,2601,2613,2563,2576,115819,0.0
2022-12-06,2538,2626,2513,2601,190229,0.009704968944099335
2022-12-07,2576,2626,2563,2614,83474,0.004998077662437428
2022-12-08,2638,2638,2493,2514,297571,-0.03825554705432288
2022-12-09,2526,2576,2526,2551,123443,0.014717581543357117
2022-12-12,2526,2551,2501,2526,99830,-0.009800078400627243
2022-12-13,2538,2563,2513,2514,95928,-0.004750593824228044
2022-12-14,2526,2551,2513,2526,71327,0.004773269689737569
2022-12-15,2526,2576,2501,2539,93309,0.005146476642913678
2022-12-16,2513,2663,2501,2564,238518,0.009846396218983866
2022-12-19,2551,2601,2526,2589,119421,0.00975039001560063
2022-12-20,2563,2638,2551,2601,135638,0.004634994206257348
2022-12-21,2638,2651,2563,2601,83917,0.0
2022-12-22,2588,2613,2563,2601,93797,0.0
2022-12-23,2563,2613,2513,2589,206937,-0.0046136101499423265
2022-12-26,2588,2588,2513,2539,146185,-0.01931247585940521
2022-12-27,2538,2576,2513,2551,88247,0.004726270185112291
2022-12-28,2563,2563,2513,2526,59013,-0.009800078400627243
2022-12-29,2513,2526,2463,2514,177318,-0.004750593824228044
2023-01-02,2513,2538,2466,2489,85601,-0.00994431185361977
2023-01-03,2501,2501,2451,2456,80667,-0.013258336681398197
2023-01-04,2456,2498,2426,2476,63259,0.008143322475570036
2023-01-05,2483,2551,2473,2514,150167,0.015347334410339197
2023-01-06,2513,2538,2481,2526,108314,0.004773269689737569
2023-01-09,2563,2588,2526,2576,143570,0.019794140934283444
2023-01-10,2576,2576,2513,2539,96036,-0.014363354037267073
2023-01-11,2538,2563,2526,2564,81255,0.009846396218983866
2023-01-12,2563,2601,2526,2564,94329,0.0
2023-01-13,2563,2576,2526,2551,64726,-0.005070202808112323
2023-01-16,2563,2626,2513,2576,191500,0.009800078400627132
2023-01-17,2601,2651,2576,2626,258553,0.01940993788819867
2023-01-18,2626,2638,2576,2614,99674,-0.004569687738004591
2023-01-19,2576,2638,2551,2576,160386,-0.014537107880642663
2023-01-20,2551,2588,2538,2564,83074,-0.004658385093167738
2023-01-25,2588,2598,2563,2589,61044,0.00975039001560063
2023-01-26,2613,2628,2558,2614,133563,0.009656237929702494
2023-01-27,2613,2656,2576,2651,155369,0.014154552410099441
2023-01-30,2648,2801,2626,2719,478660,0.025650697849868065
2023-01-31,2716,2766,2693,2719,210719,0.0
2023-02-01,2753,2761,2698,2746,212830,0.009930121368149969
2023-02-02,2783,3103,2778,2966,5980202,0.08011653313911138
2023-02-03,2988,3076,2953,3001,938433,0.011800404585299962
2023-02-06,2988,2988,2796,2854,810659,-0.04898367210929688
2023-02-07,2863,2921,2813,2901,275066,0.016468114926418975
2023-02-08,2931,2931,2816,2889,398689,-0.004136504653567741
2023-02-09,2876,3011,2843,2951,712416,0.021460713049498148
2023-02-10,2951,3011,2843,2866,311881,-0.028803795323619097
2023-02-13,2901,2926,2803,2876,204630,0.0034891835310537633
2023-02-14,2876,2963,2863,2941,390145,0.022600834492350508
2023-02-15,3008,3088,2988,3059,1148232,0.040122407344440614
2023-02-16,3093,3136,3038,3124,1029958,0.02124877410918602
2023-02-17,3088,3088,3026,3084,442425,-0.012804097311139517
2023-02-20,3088,3108,3008,3016,243400,-0.022049286640726362
2023-02-21,3021,3106,2968,3079,727222,0.02088859416445632
2023-02-22,3046,3439,2906,2944,2543778,-0.04384540435206241
2023-02-23,2943,2951,2861,2926,430930,-0.006114130434782594
2023-02-24,2926,2951,2833,2834,377570,-0.031442241968557716
2023-02-27,2813,2903,2731,2904,325742,0.02470007057163026
2023-02-28,2911,2956,2868,2949,254543,0.015495867768595017
2023-03-02,2951,2988,2916,2924,215517,-0.008477449983045116
2023-03-03,2913,2938,2841,2914,325958,-0.0034199726402188713
2023-03-06,2923,2943,2868,2929,376735,0.005147563486616269
2023-03-07,2953,3148,2953,3129,2096520,0.06828269033799939
2023-03-08,3096,3251,3086,3094,1011375,-0.01118568232662187
2023-03-09,3098,3131,2961,3046,410787,-0.015513897866838988
2023-03-10,2976,3043,2926,3001,204130,-0.014773473407747817
2023-03-13,2978,2993,2873,2969,125706,-0.010663112295901334
2023-03-14,2941,2966,2803,2821,245143,-0.04984843381609971
2023-03-15,2826,2918,2751,2864,156452,0.015242821694434694
2023-03-16,2863,2936,2763,2816,246695,-0.016759776536312887
2023-03-17,2826,2933,2826,2859,282998,0.015269886363636465
2023-03-20,2908,3023,2873,3001,574240,0.04966771598460995
2023-03-21,3076,3351,3011,3241,1913420,0.07997334221926033
2023-03-22,3286,3451,3193,3377,2362978,0.041962357297130604
2023-03-23,3374,3479,3334,3334,1333547,-0.012733195143618592
2023-03-24,3351,3864,3344,3802,6544571,0.140371925614877
2023-03-27,4156,4452,4059,4332,7910731,0.13940031562335609
2023-03-28,4594,5414,4389,4935,11960549,0.13919667590027696
2023-03-29,5064,5202,4874,5002,3386631,0.013576494427558261
2023-03-30,5202,5389,4684,5000,3309039,-0.0003998400639744215
2023-03-31,5064,5164,4624,4805,1604170,-0.039000000000000035
2023-04-03,4804,4812,4469,4577,1859253,-0.04745057232049943
2023-04-04,4574,4669,4409,4600,1363561,0.005025125628140614
2023-04-05,4559,4574,4296,4525,1125303,-0.016304347826086918
2023-04-06,4417,4419,4226,4247,1079560,-0.06143646408839776
2023-04-07,4324,4599,4286,4527,2139484,0.0659288909818696
2023-04-10,5027,5877,4892,5177,12846198,0.14358294676386119
2023-04-11,5052,5414,4982,5115,3513229,-0.0119760479041916
2023-04-12,5152,5164,4602,4602,2253516,-0.10029325513196485
2023-04-13,4494,4629,4311,4542,1102117,-0.013037809647979182
2023-04-14,4544,4727,4394,4495,1267977,-0.010347864376926474
2023-04-17,4422,4447,4126,4239,1612383,-0.056952169076751935
2023-04-18,4159,4194,4031,4064,1032905,-0.04128332153809866
2023-04-19,4096,4096,3931,4047,791168,-0.00418307086614178
2023-04-20,4046,4046,3846,3879,1124619,-0.04151223128243142
2023-04-21,3906,4484,3814,4282,3503461,0.10389275586491364
2023-04-24,4266,4269,3934,3934,1697016,-0.08127043437645964
2023-04-25,3934,3964,3721,3752,779522,-0.0462633451957295
2023-04-26,3686,4089,3674,3904,1251345,0.04051172707889128
2023-04-27,3941,4114,3786,4049,689955,0.037141393442623016
2023-04-28,4144,4144,3846,3927,471435,-0.030130896517658656
2023-05-02,3929,4064,3851,3877,543078,-0.01273236567354219
2023-05-03,3804,4156,3761,4102,836639,0.05803456280629349
2023-05-04,4126,4414,4114,4324,1340548,0.05411994149195509
2023-05-08,4372,5615,4372,5615,9865548,0.29856614246068447
2023-05-09,5840,5840,4802,4810,10265776,-0.1433659839715049
2023-05-10,4742,5314,4644,4902,7189546,0.019126819126819017
2023-05-11,4944,5139,4812,4812,3221147,-0.01835985312117505
2023-05-12,4702,4859,4654,4812,1367535,0.0
2023-05-15,4934,4977,4599,4857,1873075,0.009351620947630979
2023-05-16,4857,5502,4834,5252,7868470,0.08132592135062788
2023-05-17,5202,5339,4999,5290,1892714,0.007235338918507139
2023-05-18,5339,5427,5114,5252,2023298,-0.007183364839319473
2023-05-19,5364,5527,5214,5440,3676997,0.035795887281035776
2023-05-22,7070,7070,6500,7070,3089653,0.2996323529411764
2023-05-23,7470,9100,7070,7660,9627840,0.08345120226308356
2023-05-24,7590,7950,6700,6730,1870703,-0.12140992167101827
2023-05-25,6970,7480,6680,6680,1564025,-0.007429420505200568
2023-05-26,6590,6810,6300,6410,471875,-0.04041916167664672
2023-05-30,6410,6630,6300,6440,347664,0.004680187207488196
2023-05-31,6480,6780,6360,6400,314756,-0.006211180124223614
2023-06-01,6320,6370,6030,6150,329377,-0.0390625
2023-06-02,6190,6300,5970,6080,248235,-0.011382113821138184
2023-06-05,6050,6140,5880,6000,210773,-0.013157894736842146
2023-06-07,6000,6030,5720,5800,280143,-0.033333333333333326
2023-06-08,5090,5440,5020,5420,1657133,-0.06551724137931036
2023-06-09,5370,5490,5230,5450,672410,0.005535055350553542
2023-06-12,5330,5480,5020,5310,2285107,-0.025688073394495414
2023-06-13,5390,5650,5120,5230,2062906,-0.015065913370998163
2023-06-14,5300,5610,5210,5360,2235980,0.0248565965583174
2023-06-15,5400,5900,5400,5740,4188769,0.07089552238805963
2023-06-16,5700,5740,5500,5540,1320477,-0.03484320557491294
2023-06-19,5540,5590,5310,5420,927206,-0.02166064981949456
2023-06-20,5330,5410,5150,5210,806492,-0.03874538745387457
2023-06-21,5180,5280,5060,5120,573799,-0.017274472168905985
2023-06-22,5030,5160,4890,4925,791972,-0.0380859375
2023-06-23,4970,5260,4970,5040,736403,0.023350253807106647
2023-06-26,5060,5340,4800,5270,1074564,0.045634920634920695
2023-06-27,5210,5280,5040,5090,456397,-0.034155597722960174
2023-06-28,5110,5320,4985,5030,1015042,-0.011787819253438081
2023-06-29,5100,5300,5040,5220,1022641,0.0377733598409542
2023-06-30,5300,5330,5080,5220,1200868,0.0
2023-07-03,5280,5440,5210,5340,1197831,0.02298850574712641
2023-07-04,5420,5830,5340,5830,2770912,0.09176029962546806
2023-07-05,5920,6110,5750,5840,2303971,0.0017152658662091813
2023-07-06,5800,5800,5410,5450,1230691,-0.06678082191780821
2023-07-07,5450,5700,5420,5480,1021450,0.005504587155963359
2023-07-10,5490,5500,5100,5240,815258,-0.04379562043795615
2023-07-11,5280,5490,5270,5380,747352,0.026717557251908497
2023-07-12,5400,5610,5310,5560,961838,0.03345724907063197
2023-07-13,5650,5750,5530,5630,1000319,0.012589928057553879
2023-07-14,5740,5810,5350,5430,1319110,-0.035523978685612745
2023-07-17,5400,5510,5180,5340,636928,-0.016574585635359074
2023-07-18,5480,5500,5210,5400,682723,0.011235955056179803
2023-07-19,5400,5430,5000,5000,971075,-0.07407407407407407
2023-07-20,4930,5100,4700,5090,809537,0.018000000000000016
2023-07-21,4890,5120,4860,4970,369447,-0.023575638506876273
2023-07-24,4925,4925,4585,4605,969053,-0.07344064386317906
2023-07-25,4530,4600,4375,4445,675949,-0.034744842562432154
2023-07-26,4425,4445,4010,4195,1013543,-0.05624296962879638
2023-07-27,4105,4600,4105,4470,740208,0.06555423122765203
2023-07-28,4525,4800,4350,4590,708225,0.02684563758389258
2023-07-31,4650,5150,4470,4680,1699995,0.019607843137254832
2023-08-01,4680,4750,4510,4630,668887,-0.010683760683760646
2023-08-02,4545,4875,4460,4500,826803,-0.02807775377969768
2023-08-03,4420,4470,4240,4290,469113,-0.046666666666666634
2023-08-04,4250,4355,4220,4245,213339,-0.010489510489510523
2023-08-07,4230,4320,4130,4260,168048,0.0035335689045936647
2023-08-08,4260,4500,4195,4385,335460,0.02934272300469476
2023-08-09,4450,4880,4400,4840,3495739,0.10376282782212076
2023-08-10,4800,4865,4600,4670,1009848,-0.03512396694214881
2023-08-11,4630,4980,4620,4900,897159,0.04925053533190571
2023-08-14,4960,4980,4780,4905,582732,0.0010204081632652073
2023-08-16,4810,4845,4560,4560,436497,-0.07033639143730885
2023-08-17,4500,4895,4350,4705,513905,0.0317982456140351
2023-08-18,4575,4730,4505,4560,261033,-0.03081827842720508
2023-08-21,4540,4635,4425,4425,457587,-0.02960526315789469
2023-08-22,4425,4500,4265,4280,349037,-0.03276836158192087
2023-08-23,4260,4385,4245,4325,176126,0.010514018691588856
2023-08-24,4480,4630,4430,4540,516452,0.04971098265895946
2023-08-25,4400,4405,4320,4355,313896,-0.040748898678414136
2023-08-28,4400,4535,4350,4505,524684,0.03444316877152698
2023-08-29,4375,4435,4320,4415,453906,-0.019977802441731418
2023-08-30,4490,4550,4415,4440,255905,0.005662514156285381
2023-08-31,4410,4440,4295,4305,301668,-0.030405405405405372
2023-09-01,4305,4475,4285,4455,318526,0.03484320557491283
2023-09-04,4490,4490,4300,4325,275616,-0.029180695847362492
2023-09-05,4295,4400,4295,4320,257156,-0.0011560693641619046
2023-09-06,4295,4320,4050,4150,494640,-0.03935185185185186
2023-09-07,4100,4190,4060,4090,302596,-0.014457831325301207
2023-09-08,4050,4095,3985,4030,252824,-0.014669926650366705
2023-09-11,4060,4085,3980,3995,113875,-0.008684863523573227
2023-09-12,3990,4050,3960,3970,179620,-0.006257822277847325
2023-09-13,3925,4000,3810,3885,229996,-0.021410579345088165
2023-09-14,3850,3990,3850,3970,139909,0.02187902187902191
2023-09-15,3970,4080,3950,3985,95574,0.0037783375314861534
2023-09-18,3930,3990,3880,3910,109455,-0.01882057716436636
2023-09-19,3880,3950,3775,3780,177666,-0.03324808184143224
2023-09-20,3720,3780,3720,3770,130957,-0.002645502645502673
2023-09-21,3705,3740,3600,3635,192958,-0.035809018567639295
2023-09-22,3545,3690,3545,3670,123507,0.009628610729023324
2023-09-25,3610,3655,3510,3510,117435,-0.043596730245231585
2023-09-26,3455,3600,3455,3510,143235,0.0
2023-09-27,3370,3660,3370,3640,153644,0.03703703703703698
2023-10-04,3585,3630,3470,3500,115045,-0.038461538461538436
2023-10-05,3500,3570,3380,3400,141410,-0.02857142857142858
2023-10-06,3325,3475,3325,3455,92022,0.016176470588235237
2023-10-10,3425,4155,3425,3600,5678369,0.04196816208393628
2023-10-11,3620,3765,3565,3735,528530,0.03750000000000009
2023-10-12,3750,3840,3730,3770,321378,0.009370816599732157
2023-10-13,3775,3775,3640,3735,150560,-0.009283819628647216
2023-10-16,4090,4855,3855,4855,13133005,0.29986613119143235
2023-10-17,5180,5260,4675,4760,17064118,-0.019567456230690006
2023-10-18,4735,4850,4325,4395,4279547,-0.07668067226890751
2023-10-19,4700,4745,3830,3830,7188070,-0.1285551763367463
2023-10-20,3905,3935,3425,3450,2109049,-0.09921671018276768
2023-10-23,3415,3550,3300,3300,931943,-0.04347826086956519
2023-10-24,3310,3430,3165,3425,980886,0.037878787878787845
2023-10-25,3415,3470,3315,3315,592928,-0.03211678832116793
2023-10-26,3200,3220,3010,3010,616248,-0.09200603318250378
2023-10-27,3010,3220,2905,3075,639307,0.021594684385382035
2023-10-30,3100,3510,3100,3345,1281355,0.08780487804878057
2023-10-31,3335,3335,3185,3190,369672,-0.046337817638266054
2023-11-01,3200,3330,3200,3280,184997,0.028213166144200663
2023-11-02,3355,3505,3355,3460,476805,0.054878048780487854
2023-11-03,3500,3525,3405,3475,273664,0.004335260115607031
2023-11-06,3545,3710,3475,3700,588268,0.06474820143884896
2023-11-07,3665,3735,3530,3575,287291,-0.03378378378378377
2023-11-08,3675,3745,3470,3470,282375,-0.029370629370629397
2023-11-09,3450,3550,3400,3430,164812,-0.011527377521613813
2023-11-10,3405,3445,3330,3355,128485,-0.02186588921282795
2023-11-13,3425,3435,3250,3260,163964,-0.028315946348733245
2023-11-14,3265,3340,3190,3300,100250,0.012269938650306678
2023-11-15,3385,3490,3345,3425,198352,0.037878787878787845
2023-11-16,3425,3530,3420,3495,222032,0.020437956204379493
2023-11-17,3525,3525,3380,3420,169047,-0.02145922746781115
2023-11-20,3390,3505,3375,3455,158662,0.01023391812865504
2023-11-21,3485,3525,3420,3480,154679,0.00723589001447178
2023-11-22,3505,3555,3445,3510,163610,0.008620689655172376
2023-11-23,3540,3540,3445,3480,200178,-0.008547008547008517
2023-11-24,3475,3500,3440,3460,128861,-0.005747126436781658
2023-11-27,3490,3555,3415,3455,238301,-0.0014450867052022698
2023-11-28,3455,3500,3420,3425,146972,-0.00868306801736618
2023-11-29,3425,3455,3390,3450,161994,0.007299270072992803
2023-11-30,3450,3495,3420,3470,104988,0.005797101449275255
2023-12-01,3405,3465,3380,3380,188486,-0.025936599423631135
2023-12-04,3445,3445,3260,3345,215584,-0.010355029585798814
2023-12-05,3305,3365,3145,3220,186766,-0.03736920777279518
2023-12-06,3240,3310,3210,3280,117026,0.01863354037267073
2023-12-07,3250,3295,3200,3270,161110,-0.0030487804878048808
2023-12-08,3325,3420,3300,3390,217020,0.03669724770642202
2023-12-11,3370,3470,3370,3465,185589,0.022123893805309658
2023-12-12,3470,4120,3470,3985,4157091,0.15007215007215002
2023-12-13,3985,4005,3750,3900,1361178,-0.021329987452948562
2023-12-14,4095,4285,3845,3905,2066355,0.0012820512820512775
2023-12-15,3940,4015,3795,3810,484113,-0.02432778489116516
2023-12-18,3810,3885,3755,3770,266600,-0.01049868766404205
2023-12-19,3800,4040,3770,4030,762819,0.06896551724137923
2023-12-20,3970,4080,3910,4035,556071,0.001240694789081953
2023-12-21,3995,4075,3900,4050,415877,0.0037174721189590088
2023-12-22,4085,4090,4000,4045,435382,-0.0012345679012345512
2023-12-26,4020,4060,3900,3910,246417,-0.03337453646477129
2023-12-27,3930,4070,3865,4030,317459,0.03069053708439906
2023-12-28,4020,4060,3950,4055,224653,0.006203473945409321
2024-01-02,4065,4250,4030,4220,832122,0.040690505548705236
2024-01-03,4200,4250,4105,4250,367482,0.007109004739336511
2024-01-04,4245,4395,4190,4395,731032,0.034117647058823586
2024-01-05,4425,4530,4285,4355,1052021,-0.009101251422070522
2024-01-08,4430,4515,4375,4400,820063,0.010332950631458004
2024-01-09,4505,4555,4370,4475,829487,0.017045454545454586
2024-01-10,4510,4510,4300,4370,465082,-0.02346368715083802
2024-01-11,4600,4985,4495,4840,4372014,0.10755148741418763
2024-01-12,4770,4810,4500,4550,936218,-0.05991735537190079
2024-01-15,4655,4935,4650,4705,1106688,0.03406593406593417
2024-01-16,4720,4775,4450,4465,814414,-0.05100956429330494
2024-01-17,4465,4465,4125,4140,751629,-0.0727883538633819
2024-01-18,4105,4215,4045,4175,377674,0.008454106280193274
2024-01-19,4250,4550,4245,4500,647040,0.07784431137724557
2024-01-22,4600,4700,4515,4640,769550,0.03111111111111109
2024-01-23,4805,5120,4645,5050,3103051,0.08836206896551735
2024-01-24,5150,5390,4975,5080,3098952,0.005940594059405946
2024-01-25,5140,5870,4915,5440,9481946,0.07086614173228356
2024-01-26,5350,5550,5070,5100,1688328,-0.0625
2024-01-29,5150,5210,4820,5010,1390119,-0.01764705882352946
2024-01-30,4980,5000,4535,4730,1179597,-0.055888223552894245
2024-01-31,4620,4750,4470,4480,457563,-0.052854122621564525
2024-02-01,4400,4525,4315,4435,551671,-0.010044642857142905
2024-02-02,4440,4620,4440,4530,295071,0.021420518602029315
2024-02-05,4540,4545,4345,4370,267320,-0.03532008830022071
2024-02-06,4330,4465,4250,4425,246465,0.012585812356979309
2024-02-07,4460,4460,4310,4330,210063,-0.021468926553672274
2024-02-08,4330,4520,4330,4480,269603,0.03464203233256358
2024-02-13,4570,4570,4450,4500,292801,0.0044642857142858094
2024-02-14,4390,5250,4390,4950,3655353,0.10000000000000009
2024-02-15,5120,5120,4900,4940,741652,-0.002020202020202033
2024-02-16,4970,4990,4715,4750,472414,-0.038461538461538436
2024-02-19,4660,4725,4575,4665,404079,-0.017894736842105297
2024-02-20,4645,5200,4615,5170,2467735,0.10825294748124326
2024-02-21,5190,5200,4960,5080,1039621,-0.01740812379110257
2024-02-22,5100,5430,4935,5220,2249937,0.027559055118110187
2024-02-23,5310,5320,5000,5080,758152,-0.026819923371647514
2024-02-26,5030,5150,4905,4970,496437,-0.021653543307086576
2024-02-27,5000,5100,4785,4860,442379,-0.02213279678068414
2024-02-28,4860,5020,4860,4920,372319,0.012345679012345734
2024-02-29,4915,4915,4760,4780,243338,-0.028455284552845517
2024-03-04,4840,4995,4800,4900,378822,0.025104602510460206
2024-03-05,4900,5260,4825,5130,1886315,0.04693877551020398
2024-03-06,5160,5480,5120,5410,2401097,0.05458089668615984
2024-03-07,5570,5890,5390,5660,4721837,0.04621072088724576
2024-03-08,6240,6240,5050,5060,6630620,-0.10600706713780916
2024-03-11,5060,5160,4820,5030,1149678,-0.005928853754940677
