Date,Open,High,Low,Close,Volume,Change
2022-01-03,10250,10400,10200,10250,11035,0.0
2022-01-04,10250,10800,10100,10700,23493,0.04390243902439028
2022-01-05,10700,10700,10200,10500,45170,-0.01869158878504673
2022-01-06,10200,10700,10200,10500,22378,0.0
2022-01-07,10500,10750,10500,10600,11845,0.00952380952380949
2022-01-10,10600,10650,10400,10550,10946,-0.004716981132075526
2022-01-11,10550,10550,10350,10450,8094,-0.009478672985781977
2022-01-12,10450,10550,10450,10450,5038,0.0
2022-01-13,10450,10550,10250,10450,12154,0.0
2022-01-14,10350,10550,10350,10450,9512,0.0
2022-01-17,10400,10550,10400,10450,11338,0.0
2022-01-18,10400,10500,10200,10300,16583,-0.014354066985645897
2022-01-19,10400,10400,10050,10050,23622,-0.024271844660194164
2022-01-20,10050,10250,10000,10150,9415,0.00995024875621886
2022-01-21,10000,10150,9980,10050,15090,-0.009852216748768461
2022-01-24,9950,11000,9450,10400,145585,0.03482587064676612
2022-01-25,10400,10500,9730,10300,68345,-0.009615384615384581
2022-01-26,10350,10350,9980,9980,18823,-0.031067961165048508
2022-01-27,9980,10050,9750,9930,14661,-0.00501002004008011
2022-01-28,9830,10000,9730,10000,9516,0.007049345417925457
2022-02-03,10000,10100,9710,10000,7689,0.0
2022-02-04,9910,10100,9820,9990,10254,-0.0010000000000000009
2022-02-07,9990,10050,9750,9880,9739,-0.011011011011010985
2022-02-08,9810,10200,9790,9790,12442,-0.009109311740890691
2022-02-09,9800,9990,9770,9800,3976,0.0010214504596526286
2022-02-10,9810,9980,9760,9840,4571,0.004081632653061273
2022-02-11,9840,9840,9730,9820,2566,-0.002032520325203291
2022-02-14,9720,9800,9510,9650,12162,-0.01731160896130346
2022-02-15,9550,9770,9450,9650,7853,0.0
2022-02-16,9670,9900,9670,9880,12306,0.023834196891191706
2022-02-17,9880,9980,9720,9740,6572,-0.014170040485829927
2022-02-18,9880,9880,9500,9630,13411,-0.011293634496919891
2022-02-21,9530,9700,9530,9660,8265,0.0031152647975076775
2022-02-22,9700,9700,9330,9500,8191,-0.0165631469979296
2022-02-23,9400,9540,9330,9350,8579,-0.015789473684210575
2022-02-24,9300,9400,9020,9360,41243,0.0010695187165774556
2022-02-25,9380,9500,9100,9280,9567,-0.008547008547008517
2022-02-28,9280,9280,9100,9170,3593,-0.0118534482758621
2022-03-02,9170,9270,9100,9150,9705,-0.0021810250817884125
2022-03-03,9210,9400,8980,9250,69819,0.010928961748633892
2022-03-04,9250,9280,8950,9070,26550,-0.019459459459459483
2022-03-07,9070,9070,8720,8790,29832,-0.030871003307607503
2022-03-08,8700,8730,8500,8530,30883,-0.029579067121729197
2022-03-10,8830,9690,8830,8900,235847,0.04337631887456039
2022-03-11,8810,9240,8700,9080,35575,0.020224719101123556
2022-03-14,9040,9190,9010,9020,11800,-0.0066079295154185536
2022-03-15,9020,9130,9010,9050,6110,0.003325942350332678
2022-03-16,9070,9200,9000,9200,16520,0.016574585635359185
2022-03-17,9350,9350,9020,9110,14536,-0.009782608695652173
2022-03-18,9210,9210,9020,9130,7498,0.002195389681668436
2022-03-21,9160,9190,9050,9170,18877,0.004381161007666945
2022-03-22,9160,9180,9080,9080,12453,-0.009814612868047967
2022-03-23,9170,9280,9110,9140,15852,0.0066079295154184425
2022-03-24,9200,9200,9110,9150,4930,0.001094091903719896
2022-03-25,9220,9220,9090,9110,8688,-0.0043715846994535346
2022-03-28,9210,9210,9080,9090,7488,-0.002195389681668547
2022-03-29,9090,9170,9060,9070,6219,-0.002200220022002153
2022-03-30,9060,9180,9030,9050,8371,-0.0022050716648290836
2022-03-31,9050,9110,9050,9050,2502,0.0
2022-04-01,9150,9190,9050,9070,12902,0.0022099447513812542
2022-04-04,9070,9230,9070,9120,10885,0.005512679162072764
2022-04-05,9120,9220,9060,9090,19360,-0.003289473684210509
2022-04-06,9150,9180,9080,9100,7291,0.0011001100110010764
2022-04-07,9090,9180,8850,9040,24879,-0.00659340659340657
2022-04-08,8990,9100,8940,9100,5834,0.006637168141592875
2022-04-11,9100,9100,9000,9000,9681,-0.01098901098901095
2022-04-12,8960,9060,8870,8990,4242,-0.0011111111111110628
2022-04-13,8900,9140,8900,9120,4181,0.014460511679644128
2022-04-14,9200,9200,8910,9000,9411,-0.013157894736842146
2022-04-15,9000,9190,9000,9000,3770,0.0
2022-04-18,9000,9140,9000,9140,2584,0.015555555555555545
2022-04-19,9090,9190,9050,9060,6682,-0.008752735229759279
2022-04-20,9060,9180,8980,9000,29771,-0.0066225165562914245
2022-04-21,9050,9070,9000,9010,2225,0.0011111111111110628
2022-04-22,9010,9050,8900,9040,6262,0.0033296337402886067
2022-04-25,8910,9130,8910,9030,6591,-0.0011061946902655162
2022-04-26,9080,9140,9000,9040,9593,0.001107419712070845
2022-04-27,9040,9060,8990,9020,4194,-0.0022123893805309214
2022-04-28,9020,9100,9010,9030,4920,0.0011086474501109667
2022-04-29,9000,9120,9000,9040,3426,0.001107419712070845
2022-05-02,9040,9040,8810,9040,6259,0.0
2022-05-03,9060,9080,9030,9050,5038,0.0011061946902655162
2022-05-04,9000,9060,9000,9030,6074,-0.0022099447513812542
2022-05-06,9020,9020,8850,8870,8612,-0.017718715393133966
2022-05-09,8880,8910,8690,8750,19526,-0.013528748590755368
2022-05-10,8450,8620,8380,8520,8462,-0.026285714285714246
2022-05-11,8510,8800,8490,8500,14332,-0.0023474178403756207
2022-05-12,8490,8490,8370,8410,6223,-0.010588235294117676
2022-05-13,8430,8630,8310,8420,5361,0.0011890606420927874
2022-05-16,8420,8590,8420,8430,3404,0.0011876484560569
2022-05-17,8440,8520,8390,8430,3256,0.0
2022-05-18,8480,8480,8320,8350,3421,-0.009489916963226541
2022-05-19,8380,8380,8190,8290,3553,-0.007185628742514938
2022-05-20,8250,8300,8250,8280,1384,-0.0012062726176115257
2022-05-23,8280,8280,8170,8200,2047,-0.009661835748792313
2022-05-24,8250,8250,8080,8100,5641,-0.012195121951219523
2022-05-25,8010,8110,7960,7960,5688,-0.01728395061728394
2022-05-26,7770,8110,7770,7990,17092,0.0037688442211054607
2022-05-27,8030,8400,8030,8090,2246,0.01251564455569465
2022-05-30,8090,8140,8040,8120,3408,0.003708281829418958
2022-05-31,8120,8200,8050,8130,10272,0.0012315270935960854
2022-06-02,8060,8230,8030,8100,6554,-0.0036900369003689537
2022-06-03,8140,8200,8120,8200,4346,0.012345679012345734
2022-06-07,8200,8220,8150,8200,9619,0.0
2022-06-08,8120,8180,8100,8160,6126,-0.004878048780487809
2022-06-09,8140,8280,8000,8000,10243,-0.019607843137254943
2022-06-10,8150,8150,7890,7930,9600,-0.008750000000000036
2022-06-13,7860,7900,7790,7870,22874,-0.007566204287515754
2022-06-14,7530,7860,7510,7630,11709,-0.030495552731893305
2022-06-15,7320,7630,7190,7380,19219,-0.032765399737876844
2022-06-16,7390,7530,7390,7480,4813,0.013550135501354976
2022-06-17,7470,7470,7160,7350,9317,-0.017379679144384985
2022-06-20,7250,7340,6680,7310,35194,-0.0054421768707483276
2022-06-21,7110,7290,7020,7220,4134,-0.012311901504788003
2022-06-22,7100,7230,6710,6710,14913,-0.0706371191135734
2022-06-23,6610,6910,5990,6220,45793,-0.07302533532041733
2022-06-24,6150,6250,6070,6220,34053,0.0
2022-06-27,6350,6350,6160,6250,24587,0.004823151125401992
2022-06-28,6300,6300,6210,6260,16193,0.0016000000000000458
2022-06-29,6160,6300,6160,6240,21239,-0.0031948881789137795
2022-06-30,6240,6260,6170,6200,11994,-0.0064102564102563875
2022-07-01,6150,6250,6140,6140,12219,-0.009677419354838679
2022-07-04,6150,6300,6150,6200,9839,0.009771986970684043
2022-07-05,6240,6300,6220,6260,2372,0.00967741935483879
2022-07-06,6330,6330,6230,6240,2102,-0.0031948881789137795
2022-07-07,6250,6360,6250,6310,5304,0.011217948717948678
2022-07-08,6320,6410,6320,6410,6988,0.015847860538827252
2022-07-11,6490,8330,6490,7380,782176,0.15132605304212166
2022-07-12,7390,7430,6750,6800,90309,-0.07859078590785906
2022-07-13,6820,8500,6760,7020,2055815,0.032352941176470695
2022-07-14,6940,7940,6930,7140,620791,0.017094017094017033
2022-07-15,7280,7370,6810,6910,112085,-0.03221288515406162
2022-07-18,6960,7360,6950,7110,87054,0.02894356005788712
2022-07-19,7080,7530,7060,7360,74237,0.035161744022503605
2022-07-20,7370,8400,7360,7680,402327,0.04347826086956519
2022-07-21,7660,8000,7600,7790,81316,0.01432291666666674
2022-07-22,7790,7900,7580,7650,81750,-0.01797175866495504
2022-07-25,7710,7890,7550,7730,46482,0.010457516339869244
2022-07-26,7600,7890,7480,7730,55873,0.0
2022-07-27,7620,8380,7620,7930,187897,0.025873221216041298
2022-07-28,7960,8490,7960,8370,116708,0.05548549810844894
2022-07-29,8550,8690,8010,8150,88588,-0.02628434886499398
2022-08-01,8140,8200,8020,8020,18917,-0.015950920245398792
2022-08-02,8020,8080,7570,7580,74137,-0.054862842892768104
2022-08-03,7700,7750,7580,7710,19415,0.01715039577836408
2022-08-04,7720,8490,7630,8090,133033,0.04928664072632949
2022-08-05,8010,8120,7910,7980,14911,-0.013597033374536438
2022-08-08,7930,8200,7840,7840,19012,-0.01754385964912286
2022-08-09,7770,7960,7770,7950,12277,0.014030612244897878
2022-08-10,7900,7970,7610,7960,33115,0.0012578616352201255
2022-08-11,7980,8000,7650,7670,51399,-0.03643216080402012
2022-08-12,7670,7810,7620,7690,7052,0.0026075619295957697
2022-08-16,7690,7820,7610,7610,20149,-0.01040312093628093
2022-08-17,7760,7760,7430,7540,19564,-0.009198423127463884
2022-08-18,7520,7590,7460,7590,11857,0.006631299734747964
2022-08-19,7480,7530,7440,7490,2736,-0.013175230566534912
2022-08-22,7480,7480,7280,7280,8769,-0.028037383177570097
2022-08-23,7270,7390,7260,7290,3487,0.0013736263736263687
2022-08-24,7290,7380,7280,7350,1614,0.008230452674897082
2022-08-25,7290,7420,7270,7300,16471,-0.006802721088435382
2022-08-26,7380,7390,7090,7090,27184,-0.02876712328767128
2022-08-29,7000,7060,6840,6900,29365,-0.026798307475317307
2022-08-30,6900,6930,6820,6900,20422,0.0
2022-08-31,6890,7140,6890,7120,3884,0.03188405797101446
2022-09-01,7050,7150,7030,7140,5008,0.002808988764045006
2022-09-02,7090,7090,6970,7000,7991,-0.019607843137254943
2022-09-05,6960,7000,6900,6930,8237,-0.010000000000000009
2022-09-06,6910,6970,6860,6930,18987,0.0
2022-09-07,6910,6910,6590,6600,13879,-0.04761904761904767
2022-09-08,6640,6980,6600,6600,27774,0.0
2022-09-13,6750,6860,6630,6850,11603,0.037878787878787845
2022-09-14,6770,6980,6660,6880,38706,0.004379562043795637
2022-09-15,6880,7050,6850,6950,7455,0.01017441860465107
2022-09-16,6910,7150,6850,6850,11992,-0.014388489208633115
2022-09-19,6820,7050,6800,6930,19393,0.011678832116788218
2022-09-20,6930,7130,6890,7100,9876,0.024531024531024626
2022-09-21,7160,7160,6970,7100,7619,0.0
2022-09-22,7060,7060,6830,7040,6021,-0.008450704225352101
2022-09-23,7100,7100,6760,6790,27581,-0.035511363636363646
2022-09-26,6750,6750,6380,6530,8770,-0.038291605301914555
2022-09-27,6540,6570,6190,6450,6456,-0.01225114854517606
2022-09-28,6300,6640,6270,6460,15507,0.0015503875968991832
2022-09-29,6310,6400,6050,6220,22696,-0.037151702786377694
2022-09-30,6060,6390,6040,6150,5139,-0.0112540192926045
2022-10-04,6110,6150,5920,6090,16936,-0.009756097560975618
2022-10-05,6090,6140,5970,5970,7373,-0.019704433497536922
2022-10-06,5970,6150,5930,5950,5820,-0.00335008375209378
2022-10-07,6010,6220,5950,6160,4748,0.03529411764705892
2022-10-11,6160,6160,5950,6000,8083,-0.025974025974025983
2022-10-12,5930,6030,5860,5870,4510,-0.021666666666666612
2022-10-13,5820,6000,5580,5650,10120,-0.03747870528109032
2022-10-14,5650,5860,5650,5650,12013,0.0
2022-10-17,5650,5700,5520,5700,5480,0.008849557522123908
2022-10-18,5700,6190,5650,6070,9646,0.06491228070175437
2022-10-19,6070,6130,5900,6040,5703,-0.0049423393739703725
2022-10-20,5980,6030,5800,6030,4012,-0.0016556291390728006
2022-10-21,6000,6030,5940,6030,2494,0.0
2022-10-24,6030,6150,6030,6070,1427,0.0066334991708125735
2022-10-25,5970,6190,5710,5950,7854,-0.01976935749588138
2022-10-26,5930,6090,5770,6090,4746,0.0235294117647058
2022-10-27,6350,6350,6020,6160,3447,0.011494252873563315
2022-10-28,6100,6160,6060,6140,1831,-0.0032467532467532756
2022-10-31,6180,6180,6040,6180,1946,0.006514657980456029
2022-11-01,6140,6290,5910,6200,11434,0.003236245954692629
2022-11-02,6200,6200,6090,6150,2837,-0.008064516129032251
2022-11-03,6080,6090,5900,6060,1745,-0.014634146341463428
2022-11-04,6000,6050,5950,6050,1054,-0.0016501650165016146
2022-11-07,6050,6230,6050,6100,1663,0.008264462809917328
2022-11-08,6090,6270,6090,6260,3914,0.026229508196721207
2022-11-09,6260,6290,6200,6280,2550,0.0031948881789136685
2022-11-10,6250,6310,6210,6260,17300,-0.0031847133757961776
2022-11-11,6330,6620,6290,6590,24385,0.05271565495207664
2022-11-14,6710,6800,6580,6760,17497,0.025796661608497695
2022-11-15,6760,6950,6690,6950,22509,0.028106508875739733
2022-11-16,6950,7000,6840,7000,9070,0.007194244604316502
2022-11-17,6930,7100,6630,6630,18381,-0.052857142857142825
2022-11-18,6590,6700,6450,6450,11058,-0.02714932126696834
2022-11-21,6450,6510,6230,6230,11342,-0.03410852713178292
2022-11-22,6080,6240,6080,6230,8157,0.0
2022-11-23,6140,6350,6120,6260,12290,0.0048154093097914075
2022-11-24,6290,6430,6220,6320,9338,0.009584664536741228
2022-11-25,6320,6420,6160,6240,9337,-0.012658227848101222
2022-11-28,6210,6350,6140,6230,11854,-0.0016025641025640969
2022-11-29,6160,6290,6160,6230,16423,0.0
2022-11-30,6230,6280,6170,6200,13204,-0.0048154093097912964
2022-12-01,6290,6380,6210,6350,15283,0.024193548387096753
2022-12-02,6350,6480,6010,6390,19229,0.006299212598425141
2022-12-05,6390,6480,6340,6450,16117,0.009389671361502261
2022-12-06,6490,6550,6310,6540,9885,0.013953488372093092
2022-12-07,6450,6610,6420,6580,5453,0.006116207951070374
2022-12-08,6520,6650,6520,6630,4002,0.0075987841945288626
2022-12-09,6630,6680,6330,6330,13294,-0.04524886877828049
2022-12-12,6340,6430,6270,6430,16087,0.01579778830963674
2022-12-13,6370,6480,6350,6430,9090,0.0
2022-12-14,6500,6570,6360,6540,16744,0.01710730948678063
2022-12-15,6490,6500,6390,6390,8676,-0.022935779816513735
2022-12-16,6370,8280,6180,6980,658893,0.09233176838810642
2022-12-19,6810,6840,6560,6810,176136,-0.024355300859598805
2022-12-20,6740,6800,6390,6470,78785,-0.04992657856093985
2022-12-21,6490,6670,6490,6620,43003,0.023183925811437467
2022-12-22,6620,6690,6530,6590,40952,-0.004531722054380682
2022-12-23,6570,6570,6270,6270,39381,-0.04855842185128978
2022-12-26,6260,7520,6250,6770,1808226,0.0797448165869219
2022-12-27,6700,7400,6700,6980,429431,0.03101920236336775
2022-12-28,6900,6990,6600,6850,79703,-0.01862464183381085
2022-12-29,6720,6820,6400,6400,56453,-0.06569343065693434
2023-01-02,6310,6430,6130,6130,47887,-0.042187500000000044
2023-01-03,6110,6310,6080,6240,40381,0.01794453507340954
2023-01-04,6130,6470,6130,6430,23182,0.03044871794871784
2023-01-05,6460,6550,6310,6350,16238,-0.01244167962674958
2023-01-06,6440,6570,6290,6550,29920,0.03149606299212593
2023-01-09,6550,6800,6550,6690,24786,0.021374045801526798
2023-01-10,6690,6790,6570,6600,26736,-0.013452914798206317
2023-01-11,6740,6850,6590,6810,23084,0.031818181818181746
2023-01-12,6810,6910,6730,6780,14768,-0.004405286343612369
2023-01-13,6780,6880,6600,6750,9847,-0.004424778761061954
2023-01-16,6790,6840,6690,6820,9659,0.010370370370370363
2023-01-17,6760,6850,6650,6700,11559,-0.017595307917888547
2023-01-18,6700,6790,6600,6750,12442,0.00746268656716409
2023-01-19,6710,6850,6700,6790,8579,0.00592592592592589
2023-01-20,6740,6990,6740,6890,26563,0.014727540500736325
2023-01-25,7000,7100,6810,7020,21053,0.018867924528301883
2023-01-26,7020,7120,6910,6990,15936,-0.004273504273504258
2023-01-27,7050,7050,6930,6930,14002,-0.008583690987124415
2023-01-30,6970,7100,6850,7040,38182,0.015873015873015817
2023-01-31,7040,7180,6990,7160,26746,0.017045454545454586
2023-02-01,7160,7270,7100,7140,16917,-0.0027932960893854997
2023-02-02,7280,7280,7140,7230,20174,0.012605042016806678
2023-02-03,7250,7270,7110,7130,15206,-0.013831258644536604
2023-02-06,7130,7180,7050,7070,13753,-0.008415147265077194
2023-02-07,7080,7120,6950,7030,19956,-0.005657708628005631
