Date,Open,High,Low,Close,Volume,Change
2022-01-03,13100,13500,13000,13200,16724,-0.0037735849056603765
2022-01-04,13100,13800,13100,13600,34233,0.030303030303030276
2022-01-05,13650,13900,12800,12950,53702,-0.047794117647058876
2022-01-06,12900,13550,12800,12900,138979,-0.0038610038610038533
2022-01-07,12850,13150,12800,13000,28449,0.007751937984496138
2022-01-10,13000,13450,12850,13450,49657,0.034615384615384714
2022-01-11,13450,14750,13450,13950,616310,0.037174721189590976
2022-01-12,13950,14150,13750,14000,94798,0.0035842293906809264
2022-01-13,14150,14150,13600,13650,65025,-0.025000000000000022
2022-01-14,13600,13600,12900,12950,92256,-0.05128205128205132
2022-01-17,12950,13150,12650,12850,42719,-0.007722007722007707
2022-01-18,12750,12950,12300,12450,45346,-0.0311284046692607
2022-01-19,12150,12900,12100,12600,52494,0.012048192771084265
2022-01-20,12550,13950,12550,13250,226040,0.051587301587301626
2022-01-21,13250,13550,12900,13150,55126,-0.007547169811320753
2022-01-24,13000,13100,12150,12300,55320,-0.06463878326996197
2022-01-25,12400,12550,11650,11750,47145,-0.04471544715447151
2022-01-26,11950,12050,11600,11750,23563,0.0
2022-01-27,11800,12000,11100,11250,51868,-0.04255319148936165
2022-01-28,11150,11650,11050,11400,30904,0.01333333333333342
2022-02-03,11850,11900,11650,11800,11193,0.03508771929824572
2022-02-04,11650,12000,11650,11950,20654,0.012711864406779627
2022-02-07,12100,12150,11700,12150,23589,0.01673640167364021
2022-02-08,12250,12400,11800,11900,21189,-0.020576131687242816
2022-02-09,11800,12600,11800,12500,34354,0.050420168067226934
2022-02-10,12500,12550,12000,12150,23155,-0.028000000000000025
2022-02-11,12000,12200,11750,11850,9953,-0.024691358024691357
2022-02-14,11600,11700,11100,11300,22382,-0.04641350210970463
2022-02-15,11200,11550,11150,11450,47284,0.01327433628318575
2022-02-16,11400,12100,11400,11950,57898,0.04366812227074246
2022-02-17,12000,12050,11500,12000,63181,0.004184100418409997
2022-02-18,11650,11900,11650,11650,17861,-0.029166666666666674
2022-02-21,11550,11700,11300,11650,12054,0.0
2022-02-22,11500,11500,11200,11450,14479,-0.01716738197424894
2022-02-23,11350,11600,11350,11450,11939,0.0
2022-02-24,11750,11950,11150,11350,29954,-0.008733624454148492
2022-02-25,11400,11900,11150,11850,38067,0.044052863436123246
2022-02-28,11650,11800,11450,11500,29577,-0.029535864978902926
2022-03-02,11400,11550,11350,11500,15297,0.0
2022-03-03,11650,12050,11550,11800,37899,0.026086956521739202
2022-03-04,11800,11950,11600,11700,15500,-0.008474576271186418
2022-03-07,11600,11600,11300,11500,16828,-0.017094017094017144
2022-03-08,11350,11600,11200,11450,11896,-0.004347826086956497
2022-03-10,11600,11700,11450,11600,10633,0.013100436681222627
2022-03-11,11700,11700,11450,11550,8989,-0.004310344827586188
2022-03-14,11550,11550,11250,11350,19587,-0.017316017316017285
2022-03-15,11350,11500,11200,11400,10141,0.004405286343612369
2022-03-16,11400,11900,11350,11650,40087,0.021929824561403466
2022-03-17,11700,14450,11700,12800,1087405,0.09871244635193133
2022-03-18,12900,12950,12600,12800,120898,0.0
2022-03-21,12900,12900,12550,12650,51461,-0.01171875
2022-03-22,12700,12700,12500,12600,35928,-0.0039525691699604515
2022-03-23,12700,12950,12500,12800,56249,0.015873015873015817
2022-03-24,12750,12850,12450,12800,31460,0.0
2022-03-25,12900,12900,12550,12700,32421,-0.0078125
2022-03-28,12600,13050,12600,12850,84249,0.011811023622047223
2022-03-29,12850,13050,12750,12950,29033,0.0077821011673151474
2022-03-30,13100,13500,12850,13100,78831,0.01158301158301156
2022-03-31,13100,13100,12700,12800,26909,-0.022900763358778664
2022-04-01,12750,13100,12550,13050,40720,0.01953125
2022-04-04,13100,13250,12850,13200,70624,0.011494252873563315
2022-04-05,13300,13350,13000,13150,36393,-0.0037878787878787845
2022-04-06,12900,13100,12800,12850,27502,-0.02281368821292773
2022-04-07,12850,12850,12500,12500,22558,-0.027237354085603127
2022-04-08,12750,12750,12200,12300,24475,-0.016000000000000014
2022-04-11,12300,12500,12050,12100,17441,-0.016260162601625994
2022-04-12,12100,12200,11950,12000,11272,-0.008264462809917328
2022-04-13,12000,12450,12000,12400,16243,0.03333333333333344
2022-04-14,12500,12600,12250,12600,16430,0.016129032258064502
2022-04-15,12500,12600,12300,12600,21818,0.0
2022-04-18,12550,12650,12350,12450,25684,-0.011904761904761862
2022-04-19,12450,12700,12300,12600,32478,0.012048192771084265
2022-04-20,12700,12700,12300,12350,26610,-0.019841269841269882
2022-04-21,12300,12600,12250,12350,29379,0.0
2022-04-22,12200,12550,12100,12400,29586,0.004048582995951344
2022-04-25,12200,12250,11900,11900,20889,-0.040322580645161255
2022-04-26,11900,12250,11900,12050,15344,0.012605042016806678
2022-04-27,11650,12100,11600,12100,20371,0.004149377593360981
2022-04-28,12150,12300,11900,12000,16240,-0.008264462809917328
2022-04-29,12100,12300,11900,12300,13523,0.02499999999999991
2022-05-02,12300,12450,12000,12400,21416,0.008130081300812941
2022-05-03,12300,12600,12250,12350,22190,-0.0040322580645161255
2022-05-04,12350,12400,12000,12150,16059,-0.01619433198380571
2022-05-06,11950,12050,11850,12050,11254,-0.008230452674897082
2022-05-09,11950,12000,11700,12000,21035,-0.004149377593360981
2022-05-10,11750,12250,11550,12150,32470,0.012499999999999956
2022-05-11,11950,12150,11900,12150,10237,0.0
2022-05-12,12150,12300,11750,11850,26848,-0.024691358024691357
2022-05-13,11750,12050,11750,12050,43006,0.016877637130801704
2022-05-16,12150,12450,11950,12150,51719,0.008298755186721962
2022-05-17,12050,12300,11900,12300,45974,0.012345679012345734
2022-05-18,12400,12500,12050,12050,38363,-0.020325203252032575
2022-05-19,11700,11950,11600,11750,14985,-0.024896265560165998
2022-05-20,11800,12050,11750,12000,8911,0.02127659574468077
2022-05-23,12000,12050,11800,12000,11843,0.0
2022-05-24,11850,12000,11700,11750,11626,-0.02083333333333337
2022-05-25,11750,12150,11750,11850,30947,0.008510638297872353
2022-05-26,11900,12050,11700,11800,27727,-0.00421940928270037
2022-05-27,11850,11900,11500,11800,20543,0.0
2022-05-30,11750,12050,11750,12000,27454,0.016949152542372836
2022-05-31,12050,12050,11750,11900,16963,-0.008333333333333304
2022-06-02,11800,12100,11800,12000,19612,0.008403361344537785
2022-06-03,12050,12200,11900,12200,26731,0.016666666666666607
2022-06-07,12150,12150,11900,11900,15048,-0.024590163934426257
2022-06-08,11900,12200,11850,12050,20444,0.012605042016806678
2022-06-09,12150,12150,11850,11900,11671,-0.012448132780082943
2022-06-10,11800,12100,11750,11750,12114,-0.012605042016806678
2022-06-13,11700,11950,11050,11350,38355,-0.03404255319148941
2022-06-14,11000,11250,10650,11100,67886,-0.022026431718061623
2022-06-15,10850,11050,10600,10650,51069,-0.04054054054054057
2022-06-16,10850,11050,10650,10750,27827,0.009389671361502261
2022-06-17,10750,11050,10500,10700,37067,-0.0046511627906976605
2022-06-20,10900,10900,9950,9950,82421,-0.07009345794392519
2022-06-21,9760,10400,9760,10250,33693,0.03015075376884413
2022-06-22,10350,10800,9990,9990,36755,-0.025365853658536608
2022-06-23,9990,10150,9260,9270,32337,-0.07207207207207211
2022-06-24,9250,9760,9250,9650,42991,0.04099244875943908
2022-06-27,9790,9900,9580,9840,9798,0.01968911917098448
2022-06-28,9890,10100,9860,10050,17356,0.021341463414634054
2022-06-29,10000,10600,9810,10400,21740,0.03482587064676612
2022-06-30,10400,10550,9900,10200,18048,-0.019230769230769273
2022-07-01,10300,12300,10300,10550,233463,0.03431372549019618
2022-07-04,10450,10700,9780,9980,54213,-0.05402843601895735
2022-07-05,10050,10800,10000,10500,30657,0.05210420841683372
2022-07-06,10500,11000,10350,10750,43726,0.023809523809523725
2022-07-07,10650,11050,10650,10700,25568,-0.0046511627906976605
2022-07-08,10800,11200,10650,11100,26038,0.03738317757009346
2022-07-11,11000,11150,10750,10800,32899,-0.027027027027026973
2022-07-12,10900,10950,10350,10350,18375,-0.04166666666666663
2022-07-13,10500,11300,10350,11050,45895,0.06763285024154597
2022-07-14,11050,11250,10650,10800,30649,-0.022624434389140302
2022-07-15,10800,11100,10700,11100,24498,0.02777777777777768
2022-07-18,11100,11300,10900,11000,35579,-0.009009009009009028
2022-07-19,11000,11400,10850,11400,23510,0.036363636363636376
2022-07-20,11400,11750,11200,11650,59041,0.021929824561403466
2022-07-21,11800,11950,11350,11500,43097,-0.012875536480686733
2022-07-22,11400,11650,11250,11500,28886,0.0
2022-07-25,11550,11600,11050,11050,33023,-0.03913043478260869
2022-07-26,11100,11450,10800,11450,40656,0.03619909502262453
2022-07-27,11350,11500,11150,11400,12920,-0.004366812227074246
2022-07-28,11400,11700,11150,11450,34603,0.004385964912280604
2022-07-29,11450,11850,11200,11800,37259,0.03056768558951961
2022-08-01,11850,11850,11450,11450,19246,-0.029661016949152574
2022-08-02,11850,12550,11450,11450,213200,0.0
2022-08-03,11500,12350,11500,11850,86990,0.03493449781659397
2022-08-04,11850,12500,11800,11850,125556,0.0
2022-08-05,11850,11900,11700,11750,18590,-0.008438818565400852
2022-08-08,11750,11800,11500,11550,20992,-0.017021276595744705
2022-08-09,11550,11650,11400,11650,16615,0.008658008658008587
2022-08-10,11700,11800,11350,11600,30769,-0.0042918454935622075
2022-08-11,11800,11900,11500,11550,36308,-0.004310344827586188
2022-08-12,11550,11550,11300,11450,22942,-0.008658008658008698
2022-08-16,11450,11700,11200,11300,46204,-0.013100436681222738
2022-08-17,11300,11350,10500,10750,49626,-0.04867256637168138
2022-08-18,10700,10750,10400,10650,13263,-0.009302325581395321
2022-08-19,10500,10800,10250,10450,16161,-0.018779342723004744
2022-08-22,10250,10500,10100,10100,11088,-0.03349282296650713
2022-08-23,10100,10200,9950,10000,11530,-0.00990099009900991
2022-08-24,9960,10150,9960,10150,4446,0.014999999999999902
2022-08-25,10200,10300,10050,10300,5224,0.014778325123152802
2022-08-26,10300,10400,10200,10350,7139,0.004854368932038833
2022-08-29,10000,10200,9930,9990,14974,-0.034782608695652195
2022-08-30,9930,10050,9910,10050,15440,0.006006006006006093
2022-08-31,9950,10600,9930,10550,12965,0.04975124378109452
2022-09-01,10400,10450,10050,10050,6097,-0.04739336492891
2022-09-02,10050,10200,9870,9910,14886,-0.013930348258706426
2022-09-05,9900,9940,9780,9860,5696,-0.005045408678102881
2022-09-06,9750,9900,9750,9790,7150,-0.007099391480730244
2022-09-07,9630,9840,9630,9700,6513,-0.009193054136874323
2022-09-08,9630,9800,9600,9650,8532,-0.005154639175257714
2022-09-13,9660,9900,9660,9830,7346,0.01865284974093262
2022-09-14,9690,9740,9260,9660,2889,-0.017293997965411978
2022-09-15,9600,9810,9510,9670,9361,0.0010351966873705098
2022-09-16,9670,9670,9500,9620,8920,-0.005170630816959676
2022-09-19,9510,9590,9390,9400,6079,-0.022869022869022815
2022-09-20,9360,9560,9360,9540,5375,0.014893617021276562
2022-09-21,9410,9630,9410,9630,5329,0.009433962264151052
2022-09-22,9620,9650,9400,9420,6397,-0.02180685358255452
2022-09-23,9450,9450,9200,9210,10115,-0.022292993630573243
2022-09-26,8650,9160,8350,8350,29859,-0.09337676438653641
2022-09-27,8380,8450,8040,8230,17985,-0.014371257485029987
2022-09-28,8120,8220,7840,8010,9404,-0.026731470230862753
2022-09-29,8050,8250,7860,8080,20974,0.008739076154806513
2022-09-30,7850,9030,7850,8080,104369,0.0
2022-10-04,8150,8260,8050,8240,10944,0.01980198019801982
2022-10-05,8250,8340,8110,8210,9123,-0.00364077669902918
2022-10-06,8140,8950,8140,8920,37879,0.0864799025578562
2022-10-07,8710,8840,8480,8510,13535,-0.04596412556053808
2022-10-11,8200,8340,8140,8200,4293,-0.03642773207990602
2022-10-12,8110,8200,7960,8150,12093,-0.0060975609756097615
2022-10-13,8000,8030,7700,7780,11710,-0.04539877300613493
2022-10-14,7780,7990,7780,7960,11151,0.023136246786632286
2022-10-17,7900,7980,7730,7960,7277,0.0
2022-10-18,8140,8140,7900,8050,9915,0.011306532663316604
2022-10-19,8050,8810,8050,8730,18198,0.08447204968944089
2022-10-20,8650,8750,8330,8330,41515,-0.04581901489117979
2022-10-21,8250,8420,8030,8080,6634,-0.03001200480192079
2022-10-24,8130,8320,8090,8190,5364,0.013613861386138515
2022-10-25,8320,8320,8050,8250,1738,0.0073260073260073
2022-10-26,8250,8440,8200,8200,6454,-0.0060606060606061
2022-10-27,8300,8320,8200,8290,2569,0.01097560975609757
2022-10-28,8200,8340,8010,8150,6720,-0.016887816646562137
2022-10-31,8250,8250,8020,8020,3675,-0.015950920245398792
2022-11-01,8190,8190,7990,8070,5134,0.006234413965087171
2022-11-02,7990,8080,7990,8050,4108,-0.0024783147459727095
2022-11-03,7980,8100,7900,8100,1996,0.006211180124223503
2022-11-04,8100,8100,7900,8060,8286,-0.004938271604938316
2022-11-07,8160,8160,8010,8070,3548,0.001240694789081953
2022-11-08,8110,8320,8090,8230,11456,0.019826517967781898
2022-11-09,8310,8410,8200,8240,2589,0.0012150668286756705
2022-11-10,8230,8230,8070,8140,4854,-0.012135922330097082
2022-11-11,8390,8400,8190,8370,16732,0.02825552825552835
2022-11-14,8670,8670,8310,8310,8276,-0.007168458781361964
2022-11-15,8150,8350,8150,8330,2973,0.002406738868832692
2022-11-16,8330,8500,8190,8290,4447,-0.004801920768307322
2022-11-17,8310,10750,8310,10750,1522709,0.29674306393244865
2022-11-18,11600,12800,10750,11050,1815448,0.027906976744185963
2022-11-21,11250,12200,10300,10500,1302592,-0.04977375565610864
2022-11-22,10250,10800,10150,10650,286916,0.014285714285714235
2022-11-23,10500,10850,10450,10800,146097,0.014084507042253502
2022-11-24,11050,11250,10500,10600,222058,-0.01851851851851849
2022-11-25,10750,10800,10250,10450,67303,-0.014150943396226467
2022-11-28,10350,10450,9950,10100,90141,-0.03349282296650713
2022-11-29,10100,10350,10000,10100,61420,0.0
2022-11-30,10200,10600,10100,10450,62565,0.034653465346534684
2022-12-01,10450,10800,10250,10350,71889,-0.009569377990430672
2022-12-02,10350,10450,9730,9730,86483,-0.05990338164251208
2022-12-05,9880,9880,9540,9670,61148,-0.006166495375128478
2022-12-06,9560,9600,9240,9360,57006,-0.03205791106514999
2022-12-07,9250,9530,9150,9360,52106,0.0
2022-12-08,9460,9460,9050,9130,35402,-0.024572649572649596
2022-12-09,9090,9360,9080,9160,25441,0.0032858707557503752
2022-12-12,9310,9310,9020,9040,14676,-0.013100436681222738
2022-12-13,9040,9130,9010,9030,14398,-0.0011061946902655162
2022-12-14,9160,9320,9000,9110,33254,0.008859357696566983
2022-12-15,9020,9240,9020,9130,12103,0.002195389681668436
2022-12-16,9000,9100,8850,8910,19659,-0.02409638554216864
2022-12-19,8910,9560,8850,9200,77731,0.032547699214365844
2022-12-20,9160,9250,8870,8870,22143,-0.035869565217391264
2022-12-21,9180,9180,8890,8940,13483,0.007891770011273946
2022-12-22,9090,9090,8960,8960,10461,0.0022371364653244186
2022-12-23,8850,8910,8430,8520,40097,-0.049107142857142905
2022-12-26,8510,8610,8270,8300,15248,-0.025821596244131495
2022-12-27,8310,8470,8160,8160,19440,-0.016867469879518038
2022-12-28,8150,8410,8150,8300,10562,0.017156862745097978
2022-12-29,8250,8330,7860,7930,28917,-0.04457831325301209
2023-01-02,7930,8040,7700,7700,24561,-0.0290037831021438
2023-01-03,7520,8940,7520,7970,231636,0.03506493506493502
2023-01-04,7970,8110,7770,7920,56578,-0.006273525721455453
2023-01-05,7860,8040,7850,7860,17412,-0.007575757575757569
2023-01-06,7730,8500,7730,8050,85186,0.024173027989821794
2023-01-09,8060,8280,8060,8160,15695,0.013664596273291973
2023-01-10,8050,8690,8050,8590,70532,0.052696078431372584
2023-01-11,8720,11150,8450,11150,920142,0.2980209545983703
2023-01-12,12000,12300,10600,10600,2546562,-0.04932735426008972
2023-01-13,10500,10850,10500,10550,346457,-0.004716981132075526
2023-01-16,10750,10800,10300,10700,300721,0.014218009478673022
2023-01-17,10700,10750,10000,10100,355307,-0.05607476635514019
2023-01-18,10450,10500,10150,10300,276684,0.01980198019801982
2023-01-19,10400,11000,10050,10100,662855,-0.01941747572815533
2023-01-20,10000,10150,9590,9640,216949,-0.045544554455445585
2023-01-25,9700,10450,9650,10030,324229,0.04045643153526979
2023-01-26,9970,10160,9840,9870,135349,-0.015952143569292088
2023-01-27,9970,10150,9920,10050,81210,0.01823708206686936
2023-01-30,10130,10200,9960,10160,87784,0.010945273631840724
2023-01-31,10160,10340,10010,10160,100543,0.0
2023-02-01,10080,10280,9920,9950,79111,-0.02066929133858264
2023-02-02,9930,10150,9890,10120,76046,0.0170854271356784
2023-02-03,10130,10260,10000,10200,44296,0.007905138339920903
2023-02-06,10090,10090,9960,9990,39897,-0.020588235294117685
2023-02-07,10000,10070,9980,10000,31175,0.0010010010010010895
2023-02-08,10150,10360,10020,10330,149973,0.03299999999999992
2023-02-09,10270,10380,10050,10080,89259,-0.024201355275895398
2023-02-10,10020,10040,9600,9600,105602,-0.04761904761904767
2023-02-13,9410,9550,9260,9500,55085,-0.01041666666666663
2023-02-14,9640,10090,9620,10090,103586,0.06210526315789466
2023-02-15,10210,10290,9770,9970,70767,-0.01189296333002976
2023-02-16,9870,10220,9870,9970,76598,0.0
2023-02-17,9900,9970,9660,9830,46320,-0.014042126379137376
2023-02-20,9820,10000,9700,9840,43260,0.0010172939979653517
2023-02-21,9840,10250,9840,10200,95355,0.03658536585365857
2023-02-22,10030,10100,9740,9740,57087,-0.045098039215686225
2023-02-23,9760,10140,9740,10050,71572,0.03182751540041062
2023-02-24,10010,10090,9810,9810,41800,-0.023880597014925398
2023-02-27,9740,10170,9710,10080,96868,0.02752293577981657
2023-02-28,10070,10240,9900,9910,103817,-0.016865079365079416
