Date,Open,High,Low,Close,Volume,Change
2022-01-03,21611,21994,21611,21899,36365,0.01327965944845455
2022-01-04,21946,22233,21707,22138,37654,0.010913740353440726
2022-01-05,22137,22472,21898,22281,48863,0.00645948143463726
2022-01-06,21755,22663,21755,21899,52277,-0.01714465239441676
2022-01-07,21994,23476,21850,22807,126468,0.04146308050595926
2022-01-10,22902,23237,22328,22903,53437,0.0042092340071031575
2022-01-11,22854,23428,22520,23094,66397,0.008339518840326576
2022-01-12,22806,23046,22089,22233,78912,-0.03728241101584828
2022-01-13,22233,22328,21898,21946,23539,-0.01290873926145819
2022-01-14,21898,22281,21659,21899,32238,-0.0021416203408366474
2022-01-17,21802,21802,21133,21133,40169,-0.034978766153705654
2022-01-18,21133,21516,20750,20847,38832,-0.013533336487957182
2022-01-19,20607,21085,20129,20368,36062,-0.022976927135798908
2022-01-20,20559,20990,20368,20894,19089,0.02582482325216029
2022-01-21,20894,20990,19794,19986,84744,-0.043457451900067
2022-01-24,19938,19938,19173,19651,47794,-0.016761733213249252
2022-01-25,19603,19651,18360,18695,68770,-0.04864892371889473
2022-01-26,18503,18934,18264,18313,47943,-0.02043327092805558
2022-01-27,18312,18312,16734,17261,165453,-0.05744553049746082
2022-01-28,17643,18312,17212,18169,60759,0.05260413649267126
2022-02-03,18695,19173,18408,18599,37684,0.02366668501293412
2022-02-04,18503,19077,18360,19078,24976,0.025754072799612837
2022-02-07,19077,19220,18455,18743,29632,-0.01755949260928824
2022-02-08,18742,18934,18216,18408,24770,-0.017873339380035214
2022-02-09,18503,19651,18503,19173,41806,0.04155801825293359
2022-02-10,19173,19890,19125,19699,29796,0.027434412976581557
2022-02-11,19412,19507,18695,18982,39081,-0.036397786689679634
2022-02-14,18647,19173,18216,18838,48055,-0.007586134232430708
2022-02-15,18599,18742,17882,17978,44184,-0.045652404713876216
2022-02-16,18312,18647,18264,18504,18974,0.029257981977973024
2022-02-17,18503,18981,18216,18743,38394,0.012916126242974446
2022-02-18,18408,19794,18408,19317,54648,0.030624766579522955
2022-02-21,18742,19507,18742,19317,26037,0.0
2022-02-22,19173,19651,18886,18886,22860,-0.022311953201842982
2022-02-23,19125,19555,18934,19556,32978,0.035476013978608556
2022-02-24,19412,19699,19029,19125,28943,-0.022039271834730978
2022-02-25,19220,19555,19125,19221,45731,0.005019607843137264
2022-02-28,19220,19746,19029,19508,21019,0.01493158524530469
2022-03-02,19507,20559,19268,19890,68208,0.019581710067664515
2022-03-03,19938,20607,19938,20273,72873,0.01925590749120154
2022-03-04,20272,20846,20225,20560,79438,0.014156760222956644
2022-03-07,20559,20703,20225,20321,42425,-0.011624513618677002
2022-03-08,19938,20081,19699,19699,42266,-0.030608729885340247
2022-03-10,20081,20607,20081,20273,45553,0.029138534951012707
2022-03-11,20559,22089,20464,21707,141037,0.07073447442411096
2022-03-14,21946,22233,21563,21851,93107,0.006633804763440443
2022-03-15,21611,21898,21037,21181,47287,-0.030662212255731958
2022-03-16,21324,22759,20894,22568,112616,0.06548321608989194
2022-03-17,22567,22567,21707,22233,121671,-0.014844026940801114
2022-03-18,22185,22233,21707,22042,41915,-0.008590833445778823
2022-03-21,22328,22424,21372,21516,55868,-0.02386353325469559
2022-03-22,21324,21994,21229,21803,59608,0.01333891057817449
2022-03-23,21802,22137,21563,21994,51645,0.008760262349218007
2022-03-24,21898,21946,21372,21707,42436,-0.013049013367282036
2022-03-25,21898,21946,21420,21468,21915,-0.011010273183765573
2022-03-28,21659,21659,21229,21420,39783,-0.0022358859698154987
2022-03-29,21468,21563,21085,21277,23737,-0.0066760037348272405
2022-03-30,21229,21372,21037,21133,37687,-0.006767871410443216
2022-03-31,21133,21372,20750,21086,47103,-0.002224009842426544
2022-04-01,20990,21229,20798,21181,26876,0.0045053590059755955
2022-04-04,21133,21516,21133,21468,26337,0.013549879609083604
2022-04-05,21468,21563,21229,21229,18314,-0.011132848891373226
2022-04-06,21420,21420,20894,21038,21024,-0.008997126572141911
2022-04-07,20894,20894,20272,20655,39539,-0.018205152581043826
2022-04-08,20607,21229,20272,21181,38670,0.025465988864681766
2022-04-11,21085,21085,20511,20655,52233,-0.024833577262641016
2022-04-12,20320,20416,19507,19795,81394,-0.04163640764947951
2022-04-13,19794,20272,19794,20273,17862,0.024147511997979265
2022-04-14,20225,20416,20129,20273,11578,0.0
2022-04-15,20272,20272,19794,19795,20664,-0.02357815814137032
2022-04-18,19746,19985,19460,19460,25425,-0.016923465521596404
2022-04-19,19651,19651,19316,19508,41644,0.0024665981500513467
2022-04-20,19603,19603,19268,19364,23584,-0.007381587041213833
2022-04-21,19412,19555,19268,19412,18425,0.002478826688700586
2022-04-22,19364,19746,19316,19412,21336,0.0
2022-04-25,19077,19220,18886,18934,27714,-0.02462394395219447
2022-04-26,19029,19125,18838,19030,15013,0.00507024400549283
2022-04-27,18599,19077,18551,18886,23477,-0.007566999474513891
2022-04-28,18886,19699,18838,19412,46735,0.027851318436937333
2022-04-29,19268,20272,19268,20225,46683,0.04188131052956945
2022-05-02,20177,20177,19842,20034,15169,-0.009443757725587143
2022-05-03,20033,20225,19746,19890,12613,-0.007187780772686447
2022-05-04,19890,20750,19890,20273,49856,0.01925590749120154
2022-05-06,20225,20703,19938,20225,22201,-0.0023676811522714836
2022-05-09,20416,20416,19029,19030,33489,-0.05908529048207667
2022-05-10,18503,19268,18264,19030,23471,0.0
2022-05-11,18790,19268,18742,19125,14521,0.00499211770888075
2022-05-12,19029,19029,18455,18599,18881,-0.02750326797385616
2022-05-13,18695,19029,18503,18934,15477,0.018011721060272157
2022-05-16,19125,19125,18742,18886,11897,-0.002535122002746415
2022-05-17,18886,19268,18886,19030,10691,0.0076246955416710005
2022-05-18,19268,19268,18647,18743,29383,-0.015081450341565938
2022-05-19,18264,18551,18264,18360,13344,-0.02043429547030895
2022-05-20,18408,18695,18360,18695,12259,0.018246187363834432
2022-05-23,18695,18742,18264,18265,17695,-0.023000802353570493
2022-05-24,18360,18503,18169,18169,11110,-0.005255954010402464
2022-05-25,18455,18647,18169,18313,12147,0.00792558753921524
2022-05-26,18455,18695,18169,18169,12106,-0.00786326653197178
2022-05-27,18455,18455,18169,18265,8657,0.005283725026143493
2022-05-30,18312,18742,18312,18695,14182,0.023542294004927466
2022-05-31,18838,19412,18742,18838,25613,0.007649104038512933
2022-06-02,18838,19125,18742,19030,10455,0.010192164773330514
2022-06-03,19173,19173,18981,19078,20967,0.002522333158171408
2022-06-07,19125,19173,18408,18647,19273,-0.02259146661075584
2022-06-08,18360,18838,18360,18647,19201,0.0
2022-06-09,18647,18647,18312,18360,16613,-0.015391215745160114
2022-06-10,18216,18647,18216,18360,17216,0.0
2022-06-13,18169,18169,17451,17643,29533,-0.03905228758169932
2022-06-14,16925,17499,16830,17356,35023,-0.016267074760528244
2022-06-15,17021,17499,16495,16830,35410,-0.030306522240147515
2022-06-16,16878,17308,16543,16639,24735,-0.011348781937017272
2022-06-17,16065,16352,15874,16161,36262,-0.028727687962016968
2022-06-20,16160,16208,14583,14679,72675,-0.09170224614813438
2022-06-21,14678,15300,14583,14966,31686,0.01955174058178355
2022-06-22,15156,15156,13913,14201,40708,-0.05111586262194312
2022-06-23,14152,14248,13387,13436,53582,-0.05386944581367514
2022-06-24,13435,14965,13339,14679,52592,0.09251265257517116
2022-06-27,14917,15874,14822,15539,48339,0.058587097213706585
2022-06-28,15539,15969,15348,15970,16968,0.02773666259090035
2022-06-29,15491,15778,15109,15205,41453,-0.04790231684408264
2022-06-30,15252,15682,15204,15205,28963,0.0
2022-07-01,15013,15587,14774,15109,25806,-0.006313712594541276
2022-07-04,15109,15491,14200,14583,47315,-0.03481368720630085
2022-07-05,14487,15013,14487,14966,13415,0.026263457450456107
2022-07-06,14965,15061,14630,14679,8022,-0.01917680074836292
2022-07-07,14822,14869,14487,14870,14449,0.013011785543974419
2022-07-08,14965,15395,14965,15109,18054,0.016072629455279097
2022-07-11,15109,15300,14965,15109,12065,0.0
2022-07-12,15109,15252,14439,14679,16897,-0.02845985836256537
2022-07-13,14630,14774,14439,14679,9830,0.0
2022-07-14,14726,14822,14487,14727,4394,0.0032699775189044544
2022-07-15,14869,14869,14248,14248,19825,-0.032525293678277944
2022-07-18,14344,14965,14344,14966,14794,0.05039303761931491
2022-07-19,14774,15252,14726,15252,16742,0.01910998262728847
2022-07-20,15778,17308,15252,17308,76059,0.1348019931812221
2022-07-21,21563,21898,17738,18552,1937294,0.07187427779061695
2022-07-22,18408,18503,17308,17356,394568,-0.06446744286330319
2022-07-25,17212,17404,16973,17356,104544,0.0
2022-07-26,17117,17260,16830,16926,97707,-0.02477529384650845
2022-07-27,16782,17356,16639,17213,49679,0.016956162117452545
2022-07-28,17021,17643,17021,17547,59192,0.019403938883401972
2022-07-29,17690,18886,17308,18743,204626,0.06815979939590822
2022-08-01,18695,18695,17977,18121,83561,-0.03318572266979669
2022-08-02,18121,18264,17930,17978,32625,-0.007891396722035204
2022-08-03,17834,18169,17786,17882,58408,-0.005339859828679461
2022-08-04,18025,18025,17499,17547,55970,-0.018733922380047008
2022-08-05,17643,17786,17260,17691,64375,0.008206531030945374
2022-08-08,17690,17786,17404,17739,32158,0.0027132440223842647
2022-08-09,17595,18216,17595,17739,77114,0.0
2022-08-10,17643,17834,17547,17691,32566,-0.0027059022492812446
2022-08-11,17834,17930,17690,17834,43418,0.008083206150019784
2022-08-12,17834,18312,17786,18073,44357,0.013401368173152406
2022-08-16,18169,18264,17834,17978,42875,-0.0052564599125767275
2022-08-17,18073,18121,17451,17500,37662,-0.02658805206363335
2022-08-18,17499,17643,17260,17547,28307,0.0026857142857141802
2022-08-19,17690,17882,17451,17739,32468,0.01094204137459398
2022-08-22,17786,17786,17308,17404,41160,-0.018884942781442038
2022-08-23,17164,17356,16925,17022,50126,-0.021948977246609935
2022-08-24,16925,17117,16830,17022,46366,0.0
2022-08-25,17404,17643,17021,17500,28223,0.02808130654447183
2022-08-26,17595,17882,17499,17547,26740,0.0026857142857141802
2022-08-29,17117,17451,17069,17165,45405,-0.021770103151535825
2022-08-30,17212,17451,17117,17308,17783,0.008330905913195519
2022-08-31,17117,17595,17021,17547,40184,0.013808643401895138
2022-09-01,17499,17690,17069,17165,55163,-0.021770103151535825
2022-09-02,17164,17260,17021,17261,21496,0.005592775997669719
2022-09-05,16878,17451,16878,17404,32536,0.008284572156885384
2022-09-06,17499,20225,17404,18073,1487826,0.0384394392093772
2022-09-07,17882,17930,17164,17213,230279,-0.04758479499806345
2022-09-08,17308,17404,17069,17165,111192,-0.002788590019171533
2022-09-13,17260,17499,17117,17213,60113,0.0027963879988348594
2022-09-14,16830,17069,16830,16974,49935,-0.013884854470458396
2022-09-15,16973,17356,16925,17213,50795,0.014080358194886289
2022-09-16,17212,17308,16878,17117,48504,-0.005577180038343066
2022-09-19,17117,17164,16686,16735,49496,-0.022316994800490764
2022-09-20,16830,17117,16830,17069,14294,0.019958171496862853
2022-09-21,16878,17164,16830,17022,15977,-0.002753529790848863
2022-09-22,16878,16878,16447,16687,31140,-0.019680413582422784
2022-09-23,16543,16686,15826,16017,46802,-0.040151015760771847
2022-09-26,15730,15826,14917,14966,84454,-0.06561778110757321
2022-09-27,14726,15156,14439,14918,41279,-0.0032072698115729326
2022-09-28,14678,14965,14057,14296,92992,-0.04169459713098267
2022-09-29,14391,14630,13961,14248,37676,-0.003357582540570836
2022-09-30,13818,14391,13722,14392,32667,0.010106681639528325
2022-10-04,14439,15013,14152,14392,30165,0.0
2022-10-05,14439,14583,13674,13866,56119,-0.03654808226792661
2022-10-06,13913,14248,13913,14009,14680,0.010312995817106652
2022-10-07,13913,14200,13913,14057,14801,0.0034263687629381145
2022-10-11,13961,14152,13053,13196,38573,-0.061250622465675475
2022-10-12,13005,13435,12957,13196,66962,0.0
2022-10-13,13053,13339,12431,12431,96311,-0.05797211276144287
2022-10-14,12622,13292,12622,13292,42468,0.06926232805084065
2022-10-17,12813,13387,12813,13292,29499,0.0
2022-10-18,13578,13722,13148,13436,41341,0.0108335841107432
2022-10-19,13483,13770,13292,13292,24595,-0.010717475439118829
2022-10-20,13196,14200,12909,14009,150136,0.05394222088474265
2022-10-21,14200,14200,13387,13770,59593,-0.017060461132129334
2022-10-24,13865,14391,13626,13722,92705,-0.0034858387799564516
2022-10-25,13961,14678,12957,13149,110087,-0.04175776125929165
2022-10-26,13148,13196,12479,12575,44150,-0.04365350977260629
2022-10-27,12574,12957,12527,12957,15642,0.03037773359840945
2022-10-28,12909,12957,12527,12575,29755,-0.02948213320984794
2022-10-31,12622,12813,12479,12814,19948,0.01900596421471179
2022-11-01,12670,13148,12670,13053,15465,0.018651474949274327
2022-11-02,13100,13435,13005,13053,25945,0.0
2022-11-03,12909,16734,12766,16352,3610728,0.2527388339845247
2022-11-04,16925,19603,16160,17547,7431887,0.0730797455968688
2022-11-07,19268,21276,19125,20273,5943353,0.15535419159970365
2022-11-08,21276,22615,20129,20464,2860517,0.009421397918413676
2022-11-09,20129,21229,19316,20560,2415853,0.004691164972634887
2022-11-10,20655,22376,20129,21994,4165597,0.06974708171206223
2022-11-11,22233,25341,21755,22520,5675890,0.0239156133490952
2022-11-14,22185,22615,21755,22233,399988,-0.012744227353463589
2022-11-15,22615,22615,21085,21373,491562,-0.03868123959879455
2022-11-16,21707,22137,20703,22138,518320,0.035792822720254636
2022-11-17,21802,21802,18647,18743,1814835,-0.15335622007408078
2022-11-18,18981,19507,18121,18313,1115883,-0.02294189830870197
2022-11-21,19746,19842,18695,18743,1141249,0.02348058756074911
2022-11-22,18934,21611,18838,21612,4090942,0.1530704796457345
2022-11-23,21181,22137,20750,21707,1399874,0.004395706089209694
2022-11-24,21707,23285,20894,21899,2169424,0.00884507301792059
2022-11-25,24767,28448,24719,27445,9629875,0.2532535732225216
2022-11-28,27349,28018,26297,27636,2283984,0.006959373292038551
2022-11-29,26632,27875,25532,27062,2980243,-0.020770010131712313
2022-11-30,26775,29405,26249,26871,5752692,-0.007057867119946826
2022-12-01,26966,27349,26392,26871,1520781,0.0
2022-12-02,26345,26440,24719,24863,1315310,-0.07472740128763355
2022-12-05,24671,25197,24097,24289,644960,-0.02308651409725293
2022-12-06,24193,24480,23428,23524,555569,-0.03149573881180778
2022-12-07,23332,23858,22854,22950,450144,-0.024400612140792366
2022-12-08,22950,23285,22328,22472,433086,-0.020827886710239607
2022-12-09,22472,22759,21898,22568,410046,0.004271982912068317
2022-12-12,22376,22424,21085,21420,495243,-0.0508684863523573
2022-12-13,21516,21611,20942,21038,307299,-0.01783380018674141
2022-12-14,20942,22137,20511,21994,690862,0.04544158189942005
2022-12-15,21420,21468,19507,19603,879313,-0.10871146676366283
2022-12-16,19220,19746,19125,19412,300256,-0.009743406621435469
2022-12-19,19220,19890,19173,19508,219766,0.004945394601277631
2022-12-20,19507,20081,19077,19364,294359,-0.007381587041213833
2022-12-21,19555,20320,19507,19795,439047,0.022257797975624882
2022-12-22,19746,21037,18551,18599,1457769,-0.06041929780247535
2022-12-23,18408,19029,18073,18599,404363,0.0
2022-12-26,18408,18886,18360,18456,322327,-0.007688585407817583
2022-12-27,18455,18599,17643,17930,607778,-0.028500216731686123
2022-12-28,0,0,0,17930,0,0.0
2022-12-29,0,0,0,17930,0,0.0
2023-01-02,0,0,0,17930,0,0.0
2023-01-03,0,0,0,17930,0,0.0
2023-01-04,0,0,0,17930,0,0.0
2023-01-05,0,0,0,17930,0,0.0
2023-01-06,0,0,0,17930,0,0.0
2023-01-09,0,0,0,17930,0,0.0
2023-01-10,0,0,0,17930,0,0.0
2023-01-11,0,0,0,17930,0,0.0
2023-01-12,0,0,0,17930,0,0.0
2023-01-13,0,0,0,17930,0,0.0
2023-01-16,0,0,0,17930,0,0.0
2023-01-17,0,0,0,17930,0,0.0
2023-01-18,0,0,0,17930,0,0.0
2023-01-19,0,0,0,17930,0,0.0
2023-01-20,0,0,0,17930,0,0.0
2023-01-25,0,0,0,17930,0,0.0
2023-01-26,0,0,0,17930,0,0.0
2023-01-27,0,0,0,17930,0,0.0
2023-01-30,0,0,0,17930,0,0.0
2023-01-31,17930,17930,15900,16960,1576037,-0.054099274958170684
2023-02-01,18300,19980,17430,17430,2813808,0.0277122641509433
2023-02-02,18000,18000,17200,17680,438949,0.014343086632243152
2023-02-03,17670,18430,17300,17770,684997,0.005090497737556543
2023-02-06,17800,18850,17400,18230,1489823,0.0258863252673045
2023-02-07,18120,18850,17850,17950,500119,-0.015359297860669252
2023-02-08,17950,18050,17670,17670,224183,-0.01559888579387192
2023-02-09,17740,18100,17370,17380,146362,-0.016411997736276218
2023-02-10,17200,17350,16700,16710,177524,-0.03855005753739926
2023-02-13,16500,16870,16490,16530,108137,-0.010771992818671472
2023-02-14,16530,16760,16320,16420,145584,-0.006654567453115545
2023-02-15,16300,16500,16120,16140,120058,-0.01705237515225333
2023-02-16,16080,16470,16080,16330,99176,0.011771995043370564
2023-02-17,16330,16800,16170,16710,174832,0.0232700551132885
2023-02-20,16560,16730,16330,16350,95713,-0.021543985637342944
2023-02-21,16310,17350,16310,16880,258762,0.03241590214067269
2023-02-22,16800,16800,16420,16460,104977,-0.024881516587677677
2023-02-23,16640,17090,16530,16710,153181,0.015188335358444771
2023-02-24,16930,16980,16430,16450,121253,-0.015559545182525447
2023-02-27,16620,16800,16190,16190,103840,-0.015805471124620052
2023-02-28,16190,16940,16190,16510,171465,0.019765287214329907
2023-03-02,16400,16710,16400,16510,69149,0.0
2023-03-03,16560,16700,16310,16440,81910,-0.004239854633555473
2023-03-06,16440,16480,16190,16220,79103,-0.01338199513381999
2023-03-07,16220,16450,16110,16200,68429,-0.0012330456226880004
2023-03-08,15930,16180,15660,15690,116230,-0.031481481481481444
2023-03-09,15830,15880,15490,15490,84821,-0.01274697259400892
2023-03-10,15250,15500,14990,14990,90521,-0.032278889606197514
2023-03-13,14660,14990,14400,14600,105975,-0.026017344896597683
2023-03-14,14350,14650,14090,14110,121391,-0.03356164383561644
2023-03-15,14120,14900,14120,14680,94092,0.04039688164422395
2023-03-16,14250,14510,14150,14180,69024,-0.0340599455040872
2023-03-17,14280,14700,14110,14620,63000,0.031029619181946355
2023-03-20,14310,14900,14310,14570,67017,-0.0034199726402188713
2023-03-21,14480,14890,14480,14770,45332,0.013726835964310125
2023-03-22,15300,15300,14550,14560,50691,-0.014218009478673022
2023-03-23,14450,14510,14140,14140,87740,-0.028846153846153855
